tipo	U1[V]	IA[nA]
máximo	7,47	0,03
mínimo	8,15	0,01
máximo	8,35	0,03
mínimo	8,42	0,01
máximo	10,13	0,04
mínimo	10,25	0,00
máximo	10,94	0,08
mínimo	11,08	0,02
máximo	11,55	0,10
mínimo	11,67	0,07
máximo	11,84	0,15
mínimo	11,96	0,07
máximo	12,08	0,16
mínimo	12,23	0,11
máximo	12,42	0,14
mínimo	12,50	0,10
máximo	12,62	0,19
mínimo	12,74	0,09
máximo	12,99	0,13
mínimo	13,11	0,08
máximo	13,23	0,12
mínimo	13,65	0,03
máximo	13,77	0,10
mínimo	14,18	0,01
máximo	14,31	0,03
mínimo	14,43	0,01
máximo	14,65	0,06
mínimo	14,77	0,00
máximo	15,21	0,08
mínimo	15,36	0,04
máximo	15,55	0,15
mínimo	15,60	0,11
máximo	16,43	0,37
mínimo	16,55	0,31
máximo	16,70	0,38
mínimo	17,16	0,30
máximo	17,24	0,37
mínimo	17,38	0,27
máximo	17,50	0,31
mínimo	17,99	0,13
máximo	18,11	0,16
mínimo	18,26	0,08
máximo	18,38	0,13
mínimo	19,12	0,01
máximo	19,80	0,12
mínimo	19,95	0,06
máximo	20,78	0,49
mínimo	20,83	0,43
máximo	21,26	0,64
mínimo	21,36	0,60
máximo	21,48	0,66
mínimo	21,73	0,55
máximo	21,83	0,60
mínimo	21,97	0,49
máximo	22,02	0,55
mínimo	22,85	0,17
máximo	22,97	0,23
mínimo	23,93	0,02
máximo	24,05	0,11
mínimo	24,17	0,04
máximo	24,39	0,09
mínimo	24,54	0,07
máximo	26,10	0,93
mínimo	26,25	0,89
máximo	26,37	0,92
mínimo	26,59	0,82
máximo	26,64	0,87
mínimo	28,54	0,09
máximo	28,66	0,16
mínimo	28,81	0,08
máximo	28,96	0,12
mínimo	29,15	0,06
máximo	31,06	1,14
mínimo	31,18	1,10
máximo	31,23	1,17
mínimo	32,89	0,39
máximo	32,91	0,46
mínimo	33,67	0,17
máximo	33,82	0,22
mínimo	33,96	0,16
máximo	34,18	0,27
mínimo	34,21	0,24
