distancia,sim_n1,err_sim_n1,sim_n2,err_sim_n2
2.795,6.55844,0.00077922,5.5615,0.00059328
6.095,5.51598,0.00104197,4.84265,0.000809073
6.095,5.51687,0.00104181,4.8435,0.000808891
11.095,4.05117,0.00117932,3.8192,0.000952435
11.095,4.05189,0.0011793,3.82069,0.000952322
16.395,2.82617,0.00114737,2.8746,0.000976886
21.595,2.05029,0.00105552,2.1895,0.000936413
26.295,1.57218,0.000964097,1.74148,0.000880605
30.995,1.22954,0.00087695,1.4106,0.000821464
36.095,0.956066,0.000790023,1.13672,0.000758231
40.995,0.764967,0.00071694,0.934709,0.000701161
50.995,0.516077,0.000599676,0.652098,0.000601176
57.295,0.412732,0.000540244,0.53186,0.000548787
