d [cm],u(x) [cm],nr [#/s],u(nr) [#/s]
2.795,0.21,6.565071252341004,0.42248363648898957
6.095,0.21,5.25259214791651,0.4082654630639338
6.095,0.21,5.220460999799402,0.29286842458538054
11.095,0.21,4.2073135792824035,0.25224212913676897
11.095,0.21,3.957980996604806,0.23142579780490333
16.395,0.21,2.8852393783665145,0.18055918128355966
21.595,0.21,2.055268754114935,0.1432842454346014
26.295,0.21,1.4375937263251672,0.10855744722741552
30.994999999999997,0.21,1.324765393576782,0.11725918805809644
36.095,0.21,1.133405821867766,0.10535698690017979
40.995000000000005,0.21,0.8250303612065835,0.0855962422739619
50.995000000000005,0.21,0.59219156759371,0.07563234872482641
57.295,0.21,0.4145153475695793,0.0818874301857054
