Bins,Cuentas,Cuentas,Cuentas
0,767,767,767
1,1782,1782,1782
2,2320,2320,2320
3,1991,1991,1991
4,1347,1347,1347
5,673,673,673
6,347,347,347
7,174,174,174
8,81,81,81
9,66,66,66
10,35,35,35
11,15,15,15
12,9,9,9
13,6,6,6
14,3,3,3
15,1,1,1
16,1,1,1
17,1,1,1
18,0,0,0
19,0,0,0
20,0,0,0
21,2,2,2
22,1,1,1
23,1,1,1
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,2,2,2
33,1,1,1
34,1,1,1
35,1,1,1
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,3,3,3
42,1,1,1
43,2,2,2
44,1,1,1
45,0,0,0
46,0,0,0
47,1,1,1
48,0,0,0
49,0,0,0
50,3,3,3
51,2,2,2
52,3,3,3
53,1,1,1
54,2,2,2
55,0,0,0
56,0,0,0
57,0,0,0
58,1,1,1
59,0,0,0
60,2,2,2
61,1,1,1
62,2,2,2
63,3,3,3
64,1,1,1
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,1,1,1
71,1,1,1
72,4,4,4
73,1,1,1
74,1,1,1
