Tiempo,Valor,Diferencia,Archivo
250,1896,1,ocr_input_250s.png
251,1897,1,ocr_input_251s.png
252,1898,0,ocr_input_252s.png
253,1898,0,ocr_input_253s.png
254,1898,0,ocr_input_254s.png
255,1898,0,ocr_input_255s.png
256,1898,0,ocr_input_256s.png
257,1898,0,ocr_input_257s.png
258,1898,0,ocr_input_258s.png
259,1898,0,ocr_input_259s.png
260,1898,0,ocr_input_260s.png
261,1898,3,ocr_input_261s.png
262,1901,0,ocr_input_262s.png
263,1901,0,ocr_input_263s.png
264,1901,0,ocr_input_264s.png
265,1901,0,ocr_input_265s.png
266,1901,1,ocr_input_266s.png
267,1902,1,ocr_input_267s.png
268,1903,2,ocr_input_268s.png
269,1905,1,ocr_input_269s.png
270,1906,1,ocr_input_270s.png
271,1907,0,ocr_input_271s.png
272,1907,0,ocr_input_272s.png
273,1907,1,ocr_input_273s.png
274,1908,2,ocr_input_274s.png
275,1910,1,ocr_input_275s.png
276,1911,0,ocr_input_276s.png
277,1911,2,ocr_input_277s.png
278,1913,0,ocr_input_278s.png
279,1913,1,ocr_input_279s.png
280,1914,1,ocr_input_280s.png
281,1915,0,ocr_input_281s.png
282,1915,2,ocr_input_282s.png
283,1917,0,ocr_input_283s.png
284,1917,0,ocr_input_284s.png
285,1917,0,ocr_input_285s.png
286,1917,0,ocr_input_286s.png
287,1917,0,ocr_input_287s.png
288,1917,0,ocr_input_288s.png
289,1917,0,ocr_input_289s.png
290,1917,1,ocr_input_290s.png
291,1918,1,ocr_input_291s.png
292,1919,0,ocr_input_292s.png
293,1919,69,ocr_input_293s.png
294,1988,-68,ocr_input_294s.png
295,1920,0,ocr_input_295s.png
296,1920,0,ocr_input_296s.png
297,1920,1,ocr_input_297s.png
298,1921,0,ocr_input_298s.png
299,1921,0,ocr_input_299s.png
300,1921,0,ocr_input_300s.png
301,1921,0,ocr_input_301s.png
302,1921,1,ocr_input_302s.png
303,1922,0,ocr_input_303s.png
304,1922,1,ocr_input_304s.png
305,1923,1,ocr_input_305s.png
306,1924,0,ocr_input_306s.png
307,1924,1,ocr_input_307s.png
308,1925,0,ocr_input_308s.png
309,1925,0,ocr_input_309s.png
310,1925,0,ocr_input_310s.png
311,1925,1,ocr_input_311s.png
312,1926,2,ocr_input_312s.png
313,1928,0,ocr_input_313s.png
314,1928,0,ocr_input_314s.png
315,1928,1,ocr_input_315s.png
316,1929,0,ocr_input_316s.png
317,1929,0,ocr_input_317s.png
318,1929,0,ocr_input_318s.png
319,1929,0,ocr_input_319s.png
320,1929,1,ocr_input_320s.png
321,1930,1,ocr_input_321s.png
322,1931,1,ocr_input_322s.png
323,1932,0,ocr_input_323s.png
324,1932,0,ocr_input_324s.png
325,1932,1,ocr_input_325s.png
326,1933,1,ocr_input_326s.png
327,1934,1,ocr_input_327s.png
328,1935,0,ocr_input_328s.png
329,1935,2,ocr_input_329s.png
330,1937,2,ocr_input_330s.png
331,1939,1,ocr_input_331s.png
332,1940,1,ocr_input_332s.png
333,1941,2,ocr_input_333s.png
334,1943,1,ocr_input_334s.png
335,1944,1,ocr_input_335s.png
336,1945,1,ocr_input_336s.png
337,1946,1,ocr_input_337s.png
338,1947,1,ocr_input_338s.png
339,1948,1,ocr_input_339s.png
340,1949,0,ocr_input_340s.png
341,1949,0,ocr_input_341s.png
342,1949,49,ocr_input_342s.png
343,1998,-48,ocr_input_343s.png
344,1950,0,ocr_input_344s.png
345,1950,1,ocr_input_345s.png
346,1951,2,ocr_input_346s.png
347,1953,1,ocr_input_347s.png
348,1954,2,ocr_input_348s.png
349,1956,0,ocr_input_349s.png
350,1956,1,ocr_input_350s.png
351,1957,0,ocr_input_351s.png
352,1957,0,ocr_input_352s.png
353,1957,0,ocr_input_353s.png
354,1957,0,ocr_input_354s.png
355,1957,0,ocr_input_355s.png
356,1957,0,ocr_input_356s.png
357,1957,1,ocr_input_357s.png
358,1958,2,ocr_input_358s.png
359,1960,0,ocr_input_359s.png
360,1960,0,ocr_input_360s.png
361,1960,0,ocr_input_361s.png
362,1960,1,ocr_input_362s.png
363,1961,0,ocr_input_363s.png
364,1961,1,ocr_input_364s.png
365,1962,2,ocr_input_365s.png
366,1964,0,ocr_input_366s.png
367,1964,1,ocr_input_367s.png
368,1965,1,ocr_input_368s.png
369,1966,0,ocr_input_369s.png
370,1966,1,ocr_input_370s.png
371,1967,0,ocr_input_371s.png
372,1967,0,ocr_input_372s.png
373,1967,0,ocr_input_373s.png
374,1967,-37,ocr_input_374s.png
375,1930,40,ocr_input_375s.png
376,1970,0,ocr_input_376s.png
377,1970,1,ocr_input_377s.png
378,1971,0,ocr_input_378s.png
