Tiempo,Valor,Diferencia,Archivo
250,1896,5,ocr_input_250s.png
251,1901,12,ocr_input_251s.png
252,1913,6,ocr_input_252s.png
253,1919,6,ocr_input_253s.png
254,1925,8,ocr_input_254s.png
255,1933,13,ocr_input_255s.png
256,1946,11,ocr_input_256s.png
257,1957,7,ocr_input_257s.png
258,1964,8,ocr_input_258s.png
259,1972,7,ocr_input_259s.png
260,1979,7,ocr_input_260s.png
261,1986,3,ocr_input_261s.png
262,1989,5,ocr_input_262s.png
263,1994,12,ocr_input_263s.png
264,2006,5,ocr_input_264s.png
265,2011,17,ocr_input_265s.png
266,2028,10,ocr_input_266s.png
267,2038,5,ocr_input_267s.png
268,2043,7,ocr_input_268s.png
269,2050,8,ocr_input_269s.png
270,2058,5,ocr_input_270s.png
271,2063,8,ocr_input_271s.png
272,2071,2,ocr_input_272s.png
273,2073,14,ocr_input_273s.png
274,2087,5,ocr_input_274s.png
275,2092,8,ocr_input_275s.png
276,2100,9,ocr_input_276s.png
277,2109,10,ocr_input_277s.png
278,2119,9,ocr_input_278s.png
279,2128,6,ocr_input_279s.png
280,2134,9,ocr_input_280s.png
281,2143,15,ocr_input_281s.png
282,2158,11,ocr_input_282s.png
283,2169,10,ocr_input_283s.png
284,2179,10,ocr_input_284s.png
285,2189,6,ocr_input_285s.png
286,2195,12,ocr_input_286s.png
287,2207,5,ocr_input_287s.png
288,2212,9,ocr_input_288s.png
289,2221,6,ocr_input_289s.png
290,2227,9,ocr_input_290s.png
291,2236,5,ocr_input_291s.png
292,2241,6,ocr_input_292s.png
293,2247,12,ocr_input_293s.png
294,2259,5,ocr_input_294s.png
295,2264,8,ocr_input_295s.png
296,2272,8,ocr_input_296s.png
297,2280,5,ocr_input_297s.png
298,2285,7,ocr_input_298s.png
299,2292,7,ocr_input_299s.png
300,2299,6,ocr_input_300s.png
301,2305,5,ocr_input_301s.png
302,2310,9,ocr_input_302s.png
303,2319,5,ocr_input_303s.png
304,2324,4,ocr_input_304s.png
305,2328,1,ocr_input_305s.png
306,2329,7,ocr_input_306s.png
307,2336,5,ocr_input_307s.png
308,2341,7,ocr_input_308s.png
309,2348,5,ocr_input_309s.png
310,2353,12,ocr_input_310s.png
311,2365,7,ocr_input_311s.png
312,2372,8,ocr_input_312s.png
313,2380,7,ocr_input_313s.png
314,2387,12,ocr_input_314s.png
315,2399,1,ocr_input_315s.png
316,2400,11,ocr_input_316s.png
317,2411,8,ocr_input_317s.png
318,2419,9,ocr_input_318s.png
319,2428,5,ocr_input_319s.png
320,2433,3,ocr_input_320s.png
321,2436,12,ocr_input_321s.png
322,2448,9,ocr_input_322s.png
323,2457,3,ocr_input_323s.png
324,2460,8,ocr_input_324s.png
325,2468,11,ocr_input_325s.png
326,2479,6,ocr_input_326s.png
327,2485,7,ocr_input_327s.png
328,2492,9,ocr_input_328s.png
329,2501,5,ocr_input_329s.png
330,2506,6,ocr_input_330s.png
331,2512,10,ocr_input_331s.png
332,2522,7,ocr_input_332s.png
333,2529,6,ocr_input_333s.png
334,2535,5,ocr_input_334s.png
335,2540,6,ocr_input_335s.png
336,2546,7,ocr_input_336s.png
337,2553,5,ocr_input_337s.png
338,2558,11,ocr_input_338s.png
339,2569,9,ocr_input_339s.png
340,2578,8,ocr_input_340s.png
341,2586,13,ocr_input_341s.png
342,2599,-2,ocr_input_342s.png
343,2597,4,ocr_input_343s.png
344,2601,4,ocr_input_344s.png
345,2605,7,ocr_input_345s.png
346,2612,6,ocr_input_346s.png
347,2618,6,ocr_input_347s.png
348,2624,10,ocr_input_348s.png
349,2634,4,ocr_input_349s.png
350,2638,7,ocr_input_350s.png
351,2645,8,ocr_input_351s.png
352,2653,7,ocr_input_352s.png
353,2660,7,ocr_input_353s.png
354,2667,11,ocr_input_354s.png
355,2678,10,ocr_input_355s.png
356,2688,10,ocr_input_356s.png
357,2698,8,ocr_input_357s.png
358,2706,10,ocr_input_358s.png
359,2716,10,ocr_input_359s.png
360,2726,5,ocr_input_360s.png
361,2731,6,ocr_input_361s.png
362,2737,8,ocr_input_362s.png
363,2745,16,ocr_input_363s.png
364,2761,5,ocr_input_364s.png
365,2766,11,ocr_input_365s.png
366,2777,14,ocr_input_366s.png
367,2791,2,ocr_input_367s.png
368,2793,5,ocr_input_368s.png
369,2798,6,ocr_input_369s.png
370,2804,7,ocr_input_370s.png
371,2811,10,ocr_input_371s.png
372,2821,11,ocr_input_372s.png
373,2832,11,ocr_input_373s.png
374,2843,7,ocr_input_374s.png
375,2850,7,ocr_input_375s.png
376,2857,9,ocr_input_376s.png
377,2866,8,ocr_input_377s.png
378,2874,11,ocr_input_378s.png
379,2885,5,ocr_input_379s.png
380,2890,3,ocr_input_380s.png
381,2893,6,ocr_input_381s.png
382,2899,9,ocr_input_382s.png
383,2908,11,ocr_input_383s.png
384,2919,6,ocr_input_384s.png
385,2925,9,ocr_input_385s.png
386,2934,5,ocr_input_386s.png
387,2939,7,ocr_input_387s.png
388,2946,7,ocr_input_388s.png
389,2953,12,ocr_input_389s.png
390,2965,9,ocr_input_390s.png
391,2974,11,ocr_input_391s.png
392,2985,7,ocr_input_392s.png
393,2992,4,ocr_input_393s.png
394,2996,6,ocr_input_394s.png
395,3002,5,ocr_input_395s.png
396,3007,11,ocr_input_396s.png
397,3018,8,ocr_input_397s.png
398,3026,4,ocr_input_398s.png
399,3030,7,ocr_input_399s.png
400,3037,9,ocr_input_400s.png
401,3046,9,ocr_input_401s.png
402,3055,5,ocr_input_402s.png
403,3060,9,ocr_input_403s.png
404,3069,11,ocr_input_404s.png
405,3080,6,ocr_input_405s.png
406,3086,6,ocr_input_406s.png
407,3092,14,ocr_input_407s.png
408,3106,11,ocr_input_408s.png
409,3117,10,ocr_input_409s.png
410,3127,6,ocr_input_410s.png
411,3133,9,ocr_input_411s.png
412,3142,11,ocr_input_412s.png
413,3153,5,ocr_input_413s.png
414,3158,10,ocr_input_414s.png
415,3168,7,ocr_input_415s.png
416,3175,5,ocr_input_416s.png
417,3180,10,ocr_input_417s.png
418,3190,7,ocr_input_418s.png
419,3197,13,ocr_input_419s.png
420,3210,4,ocr_input_420s.png
421,3214,5,ocr_input_421s.png
422,3219,7,ocr_input_422s.png
423,3226,7,ocr_input_423s.png
424,3233,7,ocr_input_424s.png
425,3240,7,ocr_input_425s.png
426,3247,7,ocr_input_426s.png
427,3254,5,ocr_input_427s.png
428,3259,8,ocr_input_428s.png
429,3267,7,ocr_input_429s.png
430,3274,8,ocr_input_430s.png
431,3282,13,ocr_input_431s.png
432,3295,7,ocr_input_432s.png
433,3302,4,ocr_input_433s.png
434,3306,6,ocr_input_434s.png
435,3312,5,ocr_input_435s.png
436,3317,6,ocr_input_436s.png
437,3323,6,ocr_input_437s.png
438,3329,10,ocr_input_438s.png
439,3339,5,ocr_input_439s.png
440,3344,5,ocr_input_440s.png
441,3349,9,ocr_input_441s.png
442,3358,10,ocr_input_442s.png
443,3368,7,ocr_input_443s.png
444,3375,8,ocr_input_444s.png
445,3383,6,ocr_input_445s.png
446,3389,15,ocr_input_446s.png
447,3404,7,ocr_input_447s.png
448,3411,5,ocr_input_448s.png
449,3416,4,ocr_input_449s.png
450,3420,8,ocr_input_450s.png
451,3428,5,ocr_input_451s.png
452,3433,11,ocr_input_452s.png
453,3444,10,ocr_input_453s.png
454,3454,9,ocr_input_454s.png
455,3463,4,ocr_input_455s.png
456,3467,7,ocr_input_456s.png
457,3474,3,ocr_input_457s.png
458,3477,5,ocr_input_458s.png
459,3482,6,ocr_input_459s.png
460,3488,5,ocr_input_460s.png
461,3493,5,ocr_input_461s.png
462,3498,10,ocr_input_462s.png
463,3508,9,ocr_input_463s.png
464,3517,6,ocr_input_464s.png
465,3523,7,ocr_input_465s.png
466,3530,6,ocr_input_466s.png
467,3536,7,ocr_input_467s.png
468,3543,16,ocr_input_468s.png
469,3559,6,ocr_input_469s.png
470,3565,8,ocr_input_470s.png
471,3573,8,ocr_input_471s.png
472,3581,3,ocr_input_472s.png
473,3584,8,ocr_input_473s.png
474,3592,7,ocr_input_474s.png
475,3599,9,ocr_input_475s.png
476,3608,7,ocr_input_476s.png
477,3615,6,ocr_input_477s.png
478,3621,10,ocr_input_478s.png
479,3631,3,ocr_input_479s.png
480,3634,5,ocr_input_480s.png
481,3639,13,ocr_input_481s.png
482,3652,10,ocr_input_482s.png
483,3662,6,ocr_input_483s.png
484,3668,3,ocr_input_484s.png
485,3671,9,ocr_input_485s.png
486,3680,11,ocr_input_486s.png
487,3691,7,ocr_input_487s.png
488,3698,4,ocr_input_488s.png
489,3702,11,ocr_input_489s.png
490,3713,9,ocr_input_490s.png
491,3722,8,ocr_input_491s.png
492,3730,9,ocr_input_492s.png
493,3739,5,ocr_input_493s.png
494,3744,7,ocr_input_494s.png
495,3751,6,ocr_input_495s.png
496,3757,9,ocr_input_496s.png
497,3766,9,ocr_input_497s.png
498,3775,7,ocr_input_498s.png
499,3782,8,ocr_input_499s.png
500,3790,10,ocr_input_500s.png
501,3800,7,ocr_input_501s.png
502,3807,7,ocr_input_502s.png
503,3814,8,ocr_input_503s.png
504,3822,10,ocr_input_504s.png
505,3832,5,ocr_input_505s.png
506,3837,7,ocr_input_506s.png
507,3844,8,ocr_input_507s.png
508,3852,10,ocr_input_508s.png
509,3862,9,ocr_input_509s.png
510,3871,7,ocr_input_510s.png
511,3878,21,ocr_input_511s.png
512,3899,2,ocr_input_512s.png
513,3901,7,ocr_input_513s.png
514,3908,7,ocr_input_514s.png
515,3915,5,ocr_input_515s.png
516,3920,4,ocr_input_516s.png
517,3924,6,ocr_input_517s.png
518,3930,9,ocr_input_518s.png
519,3939,3,ocr_input_519s.png
520,3942,8,ocr_input_520s.png
521,3950,12,ocr_input_521s.png
522,3962,11,ocr_input_522s.png
523,3973,5,ocr_input_523s.png
524,3978,6,ocr_input_524s.png
525,3984,8,ocr_input_525s.png
526,3992,11,ocr_input_526s.png
527,4003,1,ocr_input_527s.png
528,4004,8,ocr_input_528s.png
529,4012,7,ocr_input_529s.png
530,4019,7,ocr_input_530s.png
531,4026,6,ocr_input_531s.png
532,4032,4,ocr_input_532s.png
533,4036,8,ocr_input_533s.png
534,4044,7,ocr_input_534s.png
535,4051,1,ocr_input_535s.png
536,4052,5,ocr_input_536s.png
537,4057,7,ocr_input_537s.png
538,4064,5,ocr_input_538s.png
539,4069,6,ocr_input_539s.png
540,4075,5,ocr_input_540s.png
541,4080,3,ocr_input_541s.png
542,4083,6,ocr_input_542s.png
543,4089,6,ocr_input_543s.png
544,4095,5,ocr_input_544s.png
545,4100,7,ocr_input_545s.png
546,4107,12,ocr_input_546s.png
547,4119,3,ocr_input_547s.png
548,4122,6,ocr_input_548s.png
549,4128,13,ocr_input_549s.png
550,4141,7,ocr_input_550s.png
551,4148,10,ocr_input_551s.png
552,4158,13,ocr_input_552s.png
553,4171,7,ocr_input_553s.png
554,4178,10,ocr_input_554s.png
555,4188,11,ocr_input_555s.png
556,4199,6,ocr_input_556s.png
557,4205,2,ocr_input_557s.png
558,4207,9,ocr_input_558s.png
559,4216,8,ocr_input_559s.png
560,4224,10,ocr_input_560s.png
561,4234,8,ocr_input_561s.png
562,4242,7,ocr_input_562s.png
563,4249,9,ocr_input_563s.png
564,4258,8,ocr_input_564s.png
565,4266,5,ocr_input_565s.png
566,4271,2,ocr_input_566s.png
567,4273,11,ocr_input_567s.png
568,4284,6,ocr_input_568s.png
569,4290,10,ocr_input_569s.png
570,4300,8,ocr_input_570s.png
571,4308,8,ocr_input_571s.png
572,4316,9,ocr_input_572s.png
573,4325,8,ocr_input_573s.png
574,4333,11,ocr_input_574s.png
575,4344,5,ocr_input_575s.png
576,4349,10,ocr_input_576s.png
577,4359,4,ocr_input_577s.png
578,4363,6,ocr_input_578s.png
579,4369,11,ocr_input_579s.png
580,4380,11,ocr_input_580s.png
581,4391,8,ocr_input_581s.png
582,4399,7,ocr_input_582s.png
583,4406,7,ocr_input_583s.png
584,4413,8,ocr_input_584s.png
585,4421,5,ocr_input_585s.png
586,4426,10,ocr_input_586s.png
587,4436,5,ocr_input_587s.png
588,4441,11,ocr_input_588s.png
589,4452,8,ocr_input_589s.png
590,4460,8,ocr_input_590s.png
591,4468,9,ocr_input_591s.png
592,4477,7,ocr_input_592s.png
593,4484,8,ocr_input_593s.png
594,4492,10,ocr_input_594s.png
595,4502,10,ocr_input_595s.png
596,4512,7,ocr_input_596s.png
597,4519,7,ocr_input_597s.png
598,4526,7,ocr_input_598s.png
599,4533,10,ocr_input_599s.png
600,4543,5,ocr_input_600s.png
601,4548,4,ocr_input_601s.png
602,4552,4,ocr_input_602s.png
603,4556,9,ocr_input_603s.png
604,4565,8,ocr_input_604s.png
605,4573,13,ocr_input_605s.png
606,4586,7,ocr_input_606s.png
607,4593,4,ocr_input_607s.png
608,4597,6,ocr_input_608s.png
609,4603,6,ocr_input_609s.png
610,4609,11,ocr_input_610s.png
611,4620,10,ocr_input_611s.png
612,4630,5,ocr_input_612s.png
613,4635,14,ocr_input_613s.png
614,4649,10,ocr_input_614s.png
615,4659,5,ocr_input_615s.png
616,4664,10,ocr_input_616s.png
617,4674,6,ocr_input_617s.png
618,4680,4,ocr_input_618s.png
619,4684,4,ocr_input_619s.png
620,4688,6,ocr_input_620s.png
621,4694,8,ocr_input_621s.png
622,4702,6,ocr_input_622s.png
623,4708,11,ocr_input_623s.png
624,4719,10,ocr_input_624s.png
625,4729,4,ocr_input_625s.png
626,4733,6,ocr_input_626s.png
627,4739,13,ocr_input_627s.png
628,4752,7,ocr_input_628s.png
629,4759,14,ocr_input_629s.png
630,4773,12,ocr_input_630s.png
631,4785,8,ocr_input_631s.png
632,4793,7,ocr_input_632s.png
633,4800,12,ocr_input_633s.png
634,4812,9,ocr_input_634s.png
635,4821,3,ocr_input_635s.png
636,4824,6,ocr_input_636s.png
637,4830,5,ocr_input_637s.png
638,4835,9,ocr_input_638s.png
639,4844,11,ocr_input_639s.png
640,4855,34,ocr_input_640s.png
641,4889,-13,ocr_input_641s.png
642,4876,8,ocr_input_642s.png
643,4884,3,ocr_input_643s.png
644,4887,6,ocr_input_644s.png
645,4893,8,ocr_input_645s.png
646,4901,8,ocr_input_646s.png
647,4909,10,ocr_input_647s.png
648,4919,5,ocr_input_648s.png
649,4924,4,ocr_input_649s.png
