	l=12,5	l=25	l=50	l=100		s(I_e)	s(I:b)
0,2	31,55	32,07	38,75	36,64		0,1	0,05
0,4	31,65	32,22	38,94	37,05			
0,6	31,72	32,3	39,15	37,49			
0,8	31,85	32,45	39,38	37,91			
1	31,94	32,57	39,55	38,35			
1,2	32,00	32,61	39,74	38,73			
1,4	32,09	32,71	39,98	39,13			
1,6	32,12	32,83	40,19	39,53			
1,8	32,18	32,95	40,25	39,93			
2	32,24	33,05	40,45	40,29			
2,2	32,27	33,16	40,64	40,67			
2,4	32,32	33,26	40,81	41,1			
2,6	32,35	33,41	41,05	41,47			
2,8	32,42	33,50	41,27	41,9			
3	32,45	33,60	41,45	42,28			
3,2	32,49	33,73	41,62	42,64			
3,4	32,54	33,83	41,8	43,02			
3,6	32,56	33,93	42,03	43,47			
3,8	32,64	34,05	42,22	43,82			
4	32,67	34,15	42,42	44,17			
							
	l=12,5	l=25	l=50	l=100			
0,1	31,44	32,22	38,94	37,21			
0,2	31,6	32,46	39,38	37,98			
0,3	31,75	32,69	39,78	38,77			
0,4	31,87	32,9	40,21	39,58			
0,5	31,98	33,14	40,56	40,34			
0,6	32,07	33,36	40,96	41,11			
0,7	32,2	33,55	41,39	41,83			
0,8	32,26	33,83	41,78	42,65			
0,9	32,41	34,02	42,15	43,44			
1	32,55	34,22	42,55	44,15			
1,1	32,63	34,46	42,98	44,87			
1,2	32,77	34,65	43,43	45,64			
1,3	32,86	34,81	43,74	46,38			
							
Medida	l=12,5	l=25	l=50	l=100			
1	31,46	31,97	38,50	36,2			
2	31,41	32,05	38,61	36,26			
3	31,43	32,03		36,28			
4	31,47	31,82	38,37	36,17			
5	31,5	31,84	38,52	36,21			
media	31,45	31,94	38,50	36,22			
incertidumbre muestra	0,031	0,095	0,086	0,040			
incertidumbre de la media	0,014	0,043	0,038	0,018			
incertidumbre total	0,017	0,044	0,040	0,021			
							
incerdimumbre Fmag	0,20	0,44	0,40	0,22			
							
							
							
ll=12,5							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	$P \pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
1,00	0,2	31,55	0,94				
1,00	0,4	31,65	1,92				
1,00	0,6	31,72	2,61				
1,00	0,8	31,85	3,88				
1,00	1,0	31,94	4,77				
1,00	1,2	32,00	5,36				
1,00	1,4	32,09	6,24				
1,00	1,6	32,12	6,53				
1,00	1,8	32,18	7,12				
1,00	2,0	32,24	7,71				
1,00	2,2	32,27	8,00				
1,00	2,4	32,32	8,50				
1,00	2,6	32,35	8,79				
1,00	2,8	32,42	9,48				
1,00	3,0	32,45	9,77				
1,00	3,2	32,49	10,16				
1,00	3,4	32,54	10,65				
1,00	3,6	32,56	10,85				
1,00	3,8	32,64	11,63				
1,00	4,0	32,67	11,93				
							
i	$x_i$	$y_i$	$x_i^2$	$y_i^2$	$x_i \cdot y_i$	$ y_i-b_x_i $	$(y_i-bx_i)^2$
1	0,2	0,94	0,04	0,89	0,19	0,28	0,08
2	0,4	1,92	0,16	3,70	0,77	0,60	0,36
3	0,6	2,61	0,36	6,81	1,57	0,62	0,38
4	0,8	3,88	0,64	15,09	3,11	1,23	1,52
5	1,0	4,77	1,00	22,73	4,77	1,45	2,11
6	1,2	5,36	1,44	28,69	6,43	1,38	1,90
7	1,4	6,24	1,96	38,93	8,73	1,60	2,55
8	1,6	6,53	2,56	42,69	10,45	1,23	1,51
9	1,8	7,12	3,24	50,72	12,82	1,15	1,33
10	2,0	7,71	4,00	59,45	15,42	1,08	1,16
11	2,2	8,00	4,84	64,08	17,61	0,71	0,50
12	2,4	8,50	5,76	72,17	20,39	0,54	0,29
13	2,6	8,79	6,76	77,26	22,85	0,17	0,03
14	2,8	9,48	7,84	89,80	26,53	0,19	0,04
15	3,0	9,77	9,00	95,47	29,31	-0,18	0,03
16	3,2	10,16	10,24	103,29	32,52	-0,45	0,20
17	3,4	10,65	11,56	113,50	36,22	-0,62	0,39
18	3,6	10,85	12,96	117,72	39,06	-1,09	1,18
19	3,8	11,63	14,44	135,37	44,21	-0,97	0,93
20	4,0	11,93	16,00	142,30	47,72	-1,34	1,78
$\Sigma _i$	42	146,86	114,8	1280,65	380,69	7,58	18,26
							
r	b  (mN/A)	s	s(b)  (mN/A)				
0,9928	3,316	0,98	0,092				
							
l  (mm)	b  $\pm 0,092 $   (mN/A)	B   (T)	s(B)   (T)				
12,5	3,32	0,2653	0,0073				
							
B $\pm$ 0,0073  (T)	I_b $\pm$ 0,05 (A)	cte (T/A)	s(cte) (T/A)				
0,265	1	0,265	0,015				
l=25							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	$P \pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
1,00	0,2	32,07	1,26				
1,00	0,4	32,22	2,73				
1,00	0,6	32,3	3,51				
1,00	0,8	32,45	4,98				
1,00	1,0	32,57	6,16				
1,00	1,2	32,61	6,55				
1,00	1,4	32,71	7,53				
1,00	1,6	32,83	8,71				
1,00	1,8	32,95	9,89				
