$h_1 \pm 0,2 \ (cm)$	$h_2 \pm 0,2 \ (cm)$	$t_1 \pm 0,3 \ (s)$	$T_1 \pm 0,06 \ (s)$	$t_2 \pm 0,3 \ (s)$	$T_2 \pm 0,06 \ (s)$								s(...)
97,2	50,2	11	2,2	9,19	1,838								
93,6	52,7	10,91	2,182	9,81	1,962								
84,7	61,8	10,88	2,176	10,18	2,036								
78,3	68,3	10,69	2,138	10,87	2,174								
73,7	72,4	10,59	2,118	10,97	2,194								
73,5	73,5	9,53	1,906	9,56	1,912								
69,7	77,5	10,53	2,106	11,09	2,218								
60,7	87,2	9,81	1,962	11,25	2,25								
52,9	94,1	9,5	1,9	11,34	2,268								
49,9	96,6	9,28	1,856	11,41	2,282								
													
													
													
$h_1^2 - h_2^2 \ (m^2)$	$s(h_1^2-s_h2^2) \ cm^2)$	$T_1^2*h_1 - T_2^2*h_2 \ \ (m \cdot s^2)$	$s(T_1^2*h_1 - T_2^2*h_2) \ \ (m \cdot s^2)$										
0,6928	0,0044	3,01	0,28										
0,5984	0,0043	2,43	0,27										
0,3355	0,0042	1,45	0,27										
0,1466	0,0042	0,35	0,27										
0,0190	0,0041	-0,18	0,27										
0,0000	0,0042	-0,02	0,24										
-0,1148	0,0042	-0,72	0,27										
-0,3919	0,0042	-2,08	0,28										
-0,6056	0,0043	-2,93	0,28										
-0,6842	0,0043	-3,31	0,29										
													
$b \ (m/s^2) $	$s(b) \ (m/s^2)$	r											
0,217	0,008	0,988											
													
													
$g \ (m/s^2) $	$s(g) \ (m/s^2)$												
8,55	0,31												
	 												
													
													
													
													
													
													
													
0,2165949915431890	0												
0,008	#N/A												
0,9884565869	0,05031822371												
770,6654199	9												
1,951265993	0,02278731274												
