x [mm],u(x) [mm],nr [#/s],u(nr) [#/s]
0.0,0.0,6.343380640594664,0.3469280454260209
0.0,0.0,6.343380640594664,0.3469280454260209
7.5,0.014,5.86793371385388,0.32445726813495995
7.5,0.014,6.081511099109923,0.33530235533807473
15.0,0.028,5.635538920101699,0.3102205259648955
15.0,0.028,5.504897315686369,0.30406762427475836
15.0,0.028,5.604421613705518,0.31125258149515067
22.5,0.042,6.0047985856512,0.3261341842190611
37.5,0.07,5.580748974545455,0.3065778205136475
45.0,0.084,5.452527461116949,0.30244650397077055
52.5,0.098,5.5863052876851516,0.3034776059290091
60.0,0.112,5.435130070663034,0.2994518418456801
67.5,0.126,5.753179315253876,0.3171396927091803
67.5,0.126,5.564237738482233,0.3047126270701018
75.0,0.14,5.0297400275216075,0.27996640399022127
