Bins,Cuentas,Cuentas,Cuentas
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1,1,1
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,1,1
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,2,2,2
55,2,2,2
56,1,1,1
57,1,1,1
58,3,3,3
59,0,0,0
60,6,6,6
61,3,3,3
62,7,7,7
63,4,4,4
64,10,10,10
65,10,10,10
66,7,7,7
67,9,9,9
68,25,25,25
69,17,17,17
70,18,18,18
71,20,20,20
72,21,21,21
73,19,19,19
74,18,18,18
75,18,18,18
76,21,21,21
77,25,25,25
78,22,22,22
79,23,23,23
80,18,18,18
81,15,15,15
82,15,15,15
83,26,26,26
84,15,15,15
85,17,17,17
86,14,14,14
87,7,7,7
88,11,11,11
89,7,7,7
90,5,5,5
91,7,7,7
92,0,0,0
93,4,4,4
94,1,1,1
95,4,4,4
96,2,2,2
97,2,2,2
98,3,3,3
99,1,1,1
100,3,3,3
101,0,0,0
102,1,1,1
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,1,1,1
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,1,1,1
