------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,                   -0
      0.487971470245,                   -0
      0.951544366978,                   -0
       1.39193861887,                   -0
       1.81031315818,                   -0
       2.20776897051,                   -0
       2.58535199223,                   -0
       2.94405586287,                   -0
       3.28482453997,                   -0
       3.60855478322,                   -0
        3.9160985143,                   -0
       4.20826505883,                   -0
       4.48582327613,                   -0
       4.74950358257,                   -0
       4.99999987369,                   -0
       5.25024593471,                   -0
       5.48797969268,                   -0
       5.71382676274,                   -0
       5.92838147931,                   -0
       6.13220846005,                   -0
       6.32584409175,                   -0
       6.50979794186,                   -0
       6.68455409947,                   -0
        6.8505724492,                   -0
       7.00828988145,                   -0
       7.15812144208,                   -0
       7.30046142468,                   -0
       7.43568440815,                   -0
       7.56414624244,                   -0
       7.68618498502,                   -0
       7.80212179047,                   -0
       7.91226175565,                   -0
       8.01689472257,                   -0
       8.11629604115,                   -0
       8.21072729379,                   -0
       8.30043698381,                   -0
       8.38566118932,                   -0
       8.46662418456,                   -0
       8.54353903003,                   -0
       8.61660813323,                   -0
       8.68602378128,                   -0
       8.75196864691,                   -0
       8.81461626927,                   -0
       8.87413151051,                   -0
       8.93067098969,                   -0
       8.98438349491,                   -0
       9.03541037487,                   -0
       9.08388591083,                   -0
       9.12993766999,                   -0
       9.17368684119,                   -0
       9.21524855383,                   -0
       9.25473218085,                   -0
       9.29224162651,                   -0
       9.32787559988,                   -0
       9.36172787459,                   -0
       9.39388753557,                   -0
       9.42443921349,                   -0
       9.45346330752,                   -0
       9.48103619685,                   -0
       9.50723044171,                   -0
       9.53211497433,                   -0
       9.55575528031,                   -0
         9.578213571,                   -0
       9.59954894715,                   -0
        9.6198175545,                   -0
       9.63907273148,                   -0
       9.65736514961,                   -0
       9.67474294683,                   -0
       9.69125185419,                   -0
       9.70693531618,                   -0
       9.72183460508,                   -0
       9.73598892953,   -7.00519451015e-11
       9.74943553775,   -2.87766017971e-10
       9.76220981557,   -1.45207398207e-09
       9.77434537949,   -7.10344498014e-09
       9.78587416522,   -3.17730868232e-08
       9.79682651166,   -1.33838906097e-07
       9.80723124078,   -5.29956295369e-07
       9.81711573345,   -1.97638016735e-06
       9.82650600148,   -6.95616993952e-06
       9.83542675611,   -2.31517037159e-05
       9.84390147301,   -7.30090918205e-05
       9.85195245406,   -0.000218580123897
       9.85960088606,   -0.000622487811363
       9.86686689646,    -0.00168955445195
       9.87376960634,    -0.00437880171163
       9.88032718072,     -0.0108563692196
       9.88655687639,     -0.0257956792919
       9.89247508728,     -0.0588450829024
       9.89809738761,      -0.129098703643
       9.90343857294,      -0.272840362256
       9.90851269899,      -0.556384558044
       9.91333311875,       -1.09648689474
       9.91791251751,       -2.09147666921
       9.92226294634,       -3.86687178607
       9.92639585373,       -6.93962571942
       9.93032211574,       -12.1051544784
       9.93405206466,       -20.5507176177
       9.93759551613,       -33.9974205037
       9.94096179503,       -54.8709532925
       9.94415975998,        -86.498147047
       9.94719782668,       -133.322562361
       9.95008399005,       -201.127786524
       9.95282584525,       -297.252168248
       9.95543060769,        -430.77375291
       9.95790513201,       -612.639724796
       9.96025593011,       -855.711405756
       9.96248918831,       -1174.69466161
        9.9646107836,       -1585.92742625
       9.96662629912,       -2107.00199407
       9.96854103887,       -2756.21058639
       9.97036004163,       -3551.81876928
       9.97208809425,       -4511.19195087
       9.97372974424,       -5649.82348439
       9.97528931173,       -6980.33549332
       9.97677090085,       -8511.54094672
       9.97817841051,       -10247.6630021
       9.97951554469,       -12187.8014697
       9.98078582215,       -14325.7151182
       9.98199258575,       -16649.9544745
       9.98313901117,       -19144.3381915
       9.98422811531,       -21788.7246254
       9.98526276425,       -24559.9968767
       9.98624568074,        -27433.160171
        9.9871794514,       -30382.4475683
       9.98806653354,       -33382.3422392
       9.98890926156,       -36408.4475612
       9.98970985319,       -39438.1642644
       9.99047041523,       -42451.1612419
       9.99119294917,       -45429.6493124
       9.99187935642,        -48358.483055
        9.9925314433,       -51225.1244888
       9.99315092584,       -54019.5048522
       9.99373943425,       -56733.8186824
       9.99429851724,       -59362.2795844
       9.99482964608,       -61900.8610349
       9.99533421848,        -64347.039427
       9.99581356226,       -66699.5510238
       9.99626893885,       -68958.1699051
       9.99670154661,       -71123.5104676
       9.99711252398,       -73196.8554867
       9.99750295249,       -75180.0090402
       9.99787385957,       -77075.1725417
       9.99822622129,       -78884.8415712
       9.99856096493,       -80611.7209731
       9.99887897139,       -82258.6556993
       9.99918107752,       -83828.5750263
       9.99946807835,       -85324.4479932
       9.99974072913,       -86749.2481646
       9.99999974738,       -88036.4221427
       10.0000001659,       -88037.2690588
       10.0000006305,       -88036.9624417
       10.0000011463,       -88036.6221079
       10.0000017187,       -88036.2443502
       10.0000023541,       -88035.8250548
       10.0000030594,        -88035.359657
       10.0000038423,       -88034.8430899
       10.0000047113,       -88034.2697304
       10.0000056759,       -88033.6333385
       10.0000067466,       -88032.9269892
       10.0000079351,       -88032.1429978
       10.0000092543,       -88031.2728364
       10.0000107186,       -88030.3070428
        10.000012344,       -88029.2351166
       10.0000141482,        -88028.045408
       10.0000161508,       -88026.7249909
       10.0000183738,       -88025.2595237
       10.0000208413,       -88023.6330967
       10.0000235801,         -88021.82806
       10.0000266203,       -88019.8248351
       10.0000299949,       -88017.6017056
       10.0000337407,       -88015.1345861
       10.0000378985,       -88012.3967652
       10.0000425137,       -88009.3586228
       10.0000476366,       -88005.9873167
       10.0000533229,        -88002.246436
       10.0000596348,        -87998.095619
        10.000066641,       -87993.4901306
       10.0000744178,       -87988.3803966
       10.0000830502,       -87982.7114893
        10.000092632,       -87976.4225613
       10.0001032679,       -87969.4462219
       10.0001150737,       -87961.7078502
       10.0001281782,       -87953.1248406
       10.0001427241,       -87943.6057739
       10.0001588701,       -87933.0495072
       10.0001767922,       -87921.3441772
       10.0001966857,        -87908.366108
       10.0002187675,       -87893.9786177
       10.0002432783,       -87878.0307145
       10.0002704852,       -87860.3556749
        10.000300685,       -87840.7694954
       10.0003342066,        -87819.069209
       10.0003714157,       -87795.0310558
       10.0004127178,       -87768.4085009
       10.0004585631,       -87738.9300851
       10.0005094514,       -87706.2971009
       10.0005659374,       -87670.1810776
       10.0006286369,       -87630.2210631
       10.0006982333,       -87586.0206823
       10.0007754853,       -87537.1449519
        10.000861235,        -87483.116822
       10.0009564173,       -87423.4134092
       10.0010620695,       -87357.4618729
       10.0011793435,       -87284.6348736
       10.0013095176,       -87204.2455312
       10.0014540109,       -87115.5417786
       10.0016143985,       -87017.6999754
       10.0017924287,       -86909.8176116
       10.0019900422,       -86790.9048912
       10.0022093932,       -86659.8749382
       10.0024528728,       -86515.5323248
       10.0027231351,       -86356.5595758
       10.0030231263,       -86181.5012672
       10.0033561166,       -85988.7453189
       10.0037257358,       -85776.5010836
        10.004136013,       -85542.7738763
       10.0045914208,        -85285.335663
       10.0050969235,       -85001.6917568
       10.0056580314,       -84689.0435289
       10.0062808612,        -84344.247335
       10.0069722023,       -83963.7700397
       10.0077395909,       -83543.6416592
       10.0085913923,       -83079.4056821
       10.0095368917,         -82566.06751
       10.0105863962,       -81998.0411586
       10.0117513461,        -81369.093866
       10.0130444406,       -80672.2876124
       10.0144797754,       -79899.9158808
        10.016072997,        -79043.433402
        10.017841473,        -78093.376295
       10.0198044814,       -77039.2700182
       10.0219834207,       -75869.5228973
       10.0244020433,       -74571.3035805
       10.0270867145,       -73130.4013897
       10.0300666994,        -71531.068965
       10.0333744827,       -69755.8467041
       10.0370461221,       -67785.3682258
       10.0411216419,       -65598.1455693
       10.0456454689,        -63170.332232
       10.0506669168,         -60475.46171
        10.056240724,        -57484.159438
         10.06242765,       -54163.8290056
       10.0692951379,       -50478.3293365
       10.0769180494,       -46387.7371019
       10.0853794812,       -41848.6540631
       10.0947716705,       -36817.1034794
       10.1051970006,       -31261.8593075
        10.116769117,       -25210.9234332
       10.1296141662,       -18865.0142975
       10.1438721708,       -12736.7237549
        10.159698556,        -7574.9328157
       10.1772658435,       -3928.97772519
       10.1967655326,       -1786.64453167
       10.2184101876,       -720.412840943
       10.2424357545,       -259.665778468
       10.2691041339,       -83.8160104724
        10.298706035,        -24.151134271
       10.3315641452,       -6.17455201267
       10.3680366475,       -1.39028332989
       10.4085211251,      -0.273530253821
       10.4534588952,     -0.0466540777616
         10.50333982,    -0.00684611963254
       10.5587076465,   -0.000858088548962
        10.620165934,   -9.12494651217e-05
       10.6883846331,   -8.18202786434e-06
       10.7641073891,    -6.1518399658e-07
       10.8481596482,   -3.85954389516e-08
       10.9414576559,   -2.01235458388e-09
       11.0450184444,   -8.58649069904e-11
       11.1599709196,   -2.10133657545e-12
       11.2875681671,                   -0
       11.4292011119,                   -0
       11.5864136805,                   -0
       11.7609196318,                   -0
       11.9546212376,                   -0
       12.1696300201,                   -0
       12.4082897686,                   -0
       12.6732020895,                   -0
       12.9672547657,                   -0
       13.2936532363,                   -0
       13.6559555387,                   -0
       14.0581110943,                   -0
        14.504503761,                   -0
       14.9999996211,                   -0
       15.2317110533,                   -0
       15.4750080571,                   -0
       15.7304699111,                   -0
       15.9987048577,                   -0
       16.2803515518,                   -0
       16.5760805805,                   -0
       16.8865960607,                   -0
       17.2126373148,                   -0
       17.5549806317,                   -0
       17.9144411144,                   -0
       18.2918746213,                   -0
       18.6881798035,                   -0
       19.1043002448,                   -0
       19.5412267082,   -4.89294842677e-13
       19.9999994948,   -1.00094433394e-12

------------------------------------------------------------
 E - Electric Field -DA
------------------------------------------------------------
Position (um), Electric Field (V/cm)
      0.487971470245,                    0
      0.951544366978,                    0
       1.39193861887,                    0
       1.81031315818,                    0
       2.20776897051,                    0
       2.58535199223,                    0
       2.94405586287,                    0
       3.28482453997,                    0
       3.60855478322,                    0
        3.9160985143,                    0
       4.20826505883,                    0
       4.48582327613,                    0
       4.74950358257,                    0
       4.99999987369,                    0
       5.25024593471,                    0
       5.48797969268,                    0
       5.71382676274,                    0
       5.92838147931,                    0
       6.13220846005,                    0
       6.32584409175,                    0
       6.50979794186,                    0
       6.68455409947,                    0
        6.8505724492,                    0
       7.00828988145,                    0
       7.15812144208,                    0
       7.30046142468,                    0
       7.43568440815,                    0
       7.56414624244,                    0
       7.68618498502,                    0
       7.80212179047,                    0
       7.91226175565,                    0
       8.01689472257,                    0
       8.11629604115,                    0
       8.21072729379,                    0
       8.30043698381,                    0
       8.38566118932,                    0
       8.46662418456,                    0
       8.54353903003,                    0
       8.61660813323,                    0
       8.68602378128,                    0
       8.75196864691,                    0
       8.81461626927,                    0
       8.87413151051,                    0
       8.93067098969,                    0
       8.98438349491,                    0
       9.03541037487,                    0
       9.08388591083,                    0
       9.12993766999,                    0
       9.17368684119,                    0
       9.21524855383,                    0
       9.25473218085,                    0
       9.29224162651,                    0
       9.32787559988,                    0
       9.36172787459,                    0
       9.39388753557,                    0
       9.42443921349,                    0
       9.45346330752,                    0
       9.48103619685,                    0
       9.50723044171,                    0
       9.53211497433,                    0
       9.55575528031,                    0
         9.578213571,                    0
       9.59954894715,                    0
        9.6198175545,                    0
       9.63907273148,                    0
       9.65736514961,                    0
       9.67474294683,                    0
       9.69125185419,                    0
       9.70693531618,                    0
       9.72183460508,                    0
       9.73598892953,                    0
       9.74943553775,                    0
       9.76220981557,                    0
       9.77434537949,                    0
       9.78587416522,                    0
       9.79682651166,                    0
       9.80723124078,                    0
       9.81711573345,                    0
       9.82650600148,                    0
       9.83542675611,                    0
       9.84390147301,                    0
       9.85195245406,                    0
       9.85960088606,                    0
       9.86686689646,                    0
       9.87376960634,                    0
       9.88032718072,                    0
       9.88655687639,                    0
       9.89247508728,                    0
       9.89809738761,                    0
       9.90343857294,                    0
       9.90851269899,                    0
       9.91333311875,                    0
       9.91791251751,                    0
       9.92226294634,                    0
       9.92639585373,                    0
       9.93032211574,                    0
       9.93405206466,                    0
       9.93759551613,                    0
       9.94096179503,                    0
       9.94415975998,                    0
       9.94719782668,                    0
       9.95008399005,                    0
       9.95282584525,                    0
       9.95543060769,                    0
       9.95790513201,                    0
       9.96025593011,                    0
       9.96248918831,                    0
        9.9646107836,                    0
       9.96662629912,                    0
       9.96854103887,                    0
       9.97036004163,                    0
       9.97208809425,                    0
       9.97372974424,                    0
       9.97528931173,                    0
       9.97677090085,                    0
       9.97817841051,                    0
       9.97951554469,                    0
       9.98078582215,                    0
       9.98199258575,                    0
       9.98313901117,                    0
       9.98422811531,    -5782.23495394381
       9.98526276425,    -11337.4169960665
       9.98624568074,    -16614.8399199633
        9.9871794514,    -21628.3916681402
       9.98806653354,    -26391.2658987058
       9.98890926156,    -30915.9963479456
       9.98970985319,    -35214.4903337807
       9.99047041523,    -39298.0595746897
       9.99119294917,    -43177.4503642906
       9.99187935642,    -46862.8716519968
        9.9925314433,    -50364.0218350487
       9.99315092584,    -53690.1145304203
       9.99373943425,    -56849.9025749202
       9.99429851724,    -59851.7012198802
       9.99482964608,    -62703.4099298999
       9.99533421848,     -65412.533215166
       9.99581356226,    -67986.2003361703
       9.99626893885,    -70431.1840957469
       9.99670154661,    -72753.9186646669
       9.99711252398,    -74960.5164943976
       9.99750295249,    -77056.7844782852
       9.99787385957,    -79048.2390388103
       9.99822622129,    -80940.1208390995
       9.99856096493,    -82737.4085815853
       9.99887897139,     -84444.831947687
       9.99918107752,    -86066.8841078933
       9.99946807835,    -87607.8336949996
       9.99974072913,    -89071.7357571078
       9.99999974738,    -90462.4427644384
       10.0000023541,    -90462.5351674517
       10.0000030594,    -90462.1564815282
       10.0000208413,    -90452.6091183856
       10.0000235801,    -90451.1386164603
       10.0000378985,    -90443.4508573107
       10.0000425137,    -90440.9728886809
       10.0000533229,    -90435.1692705255
       10.0000596348,    -90431.7803187583
        10.000066641,    -90428.0185871299
       10.0000744178,     -90423.843109048
       10.0001032679,    -90408.3530668478
       10.0001150737,    -90402.0143595223
       10.0001427241,    -90387.1684538637
       10.0001767922,    -90368.8767908645
       10.0001966857,    -90358.1956786835
       10.0002187675,    -90346.3396361097
       10.0002432783,    -90333.1794277792
