------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
                   0,                    0
      0.487971470245,                    0
      0.951544366978, -9.99989424599335e-10
       1.39193861887, -4.0000145418162e-09
       1.81031315818, -1.50000118992466e-08
       2.20776897051, -4.70000145469385e-08
       2.58535199223, -1.38000018523599e-07
       2.94405586287, -3.81999996079685e-07
       3.28482453997, -1.00500000144166e-06
       3.60855478322, -2.52600000294478e-06
        3.9160985143, -6.07900000204609e-06
       4.20826505883, -1.40330000135691e-05
       4.48582327613, -3.11250000208929e-05
       4.74950358257, -6.64510000092378e-05
       4.99999987369, -0.000136793000024227
       5.25024593471, -0.000280727000017578
       5.48797969268, -0.000557415999992372
       5.71382676274, -0.00107106699999804
       5.92838147931, -0.00199395300001015
       6.13220846005, -0.00360141700002714
       6.32584409175, -0.00631963299997551
       6.50979794186,  -0.0107882920000293
       6.68455409947,  -0.0179397559999757
        6.8505724492,  -0.0290952099999799
       7.00828988145,  -0.0460769150000147
       7.15812144208,   -0.071333917000004
       7.30046142468,   -0.108076695000022
       7.43568440815,   -0.160414310000021
       7.56414624244,   -0.233486011000025
       7.68618498502,    -0.33357808400001
       7.80212179047,    -0.46821620999998
       7.91226175565,   -0.646223824000003
       8.01689472257,   -0.877738093999994
       8.11629604115,    -1.17417688099999
       8.21072729379,    -1.54815258399998
       8.30043698381,    -2.01333159900003
       8.38566118932,    -2.58424127699999
       8.46662418456,    -3.27602924600001
       8.54353903003,         -4.104182745
       8.61660813323,    -5.08421784199999
       8.68602378128,    -6.23135001899999
       8.75196864691,    -7.56015846000003
       8.81461626927,    -9.08425653300003
       8.87413151051,        -10.815980356
       8.93067098969,        -12.766106166
       8.98438349491,        -14.943605539
       9.03541037487,        -17.355445475
       9.08388591083,        -20.006438205
       9.12993766999,        -22.899143301
       9.17368684119,        -26.033822538
       9.21524855383,        -29.408446001
       9.25473218085,        -33.018746226
       9.29224162651,          -36.8583158
       9.32787559988,        -40.918742836
       9.36172787459,         -45.18977802
       9.39388753557,        -49.659526612
       9.42443921349,        -54.314658691
       9.45346330752,        -59.140631147
       9.48103619685,        -64.121915309
       9.50723044171,        -69.242224647
       9.53211497433,        -74.484737655
       9.55575528031,        -79.832311752
         9.578213571,        -85.267684782
       9.59954894715,        -90.773661436
        9.6198175545,        -96.333282662
       9.63907273148,       -101.929976755
       9.65736514961,       -107.547691449
       9.67474294683,       -113.171006838
       9.69125185419,       -118.785229398
       9.70693531618,       -124.376467774
       9.72183460508,       -129.931691247
       9.73598892953,       -135.438772056
       9.74943553775,       -140.886512887
       9.76220981557,       -146.264660929
       9.77434537949,        -151.56390999
       9.78587416522,       -156.775892104
       9.79682651166,        -161.89316012
       9.80723124078,       -166.909162629
       9.81711573345,       -171.818212561
       9.82650600148,        -176.61545069
       9.83542675611,       -181.296805172
       9.84390147301,      -185.8589481511
       9.85195245406,      -190.2992504152
       9.85960088606,      -194.6157349775
       9.86686689646,      -198.8070305371
       9.87376960634,      -202.8723258563
       9.88032718072,      -206.8113265072
       9.88655687639,      -210.6242161017
       9.89247508728,      -214.3116253793
       9.89809738761,      -217.8746144766
       9.90343857294,      -221.3146765402
       9.90851269899,      -224.6337747314
       9.91333311875,      -227.8344294249
       9.91791251751,       -230.919877885
       9.92226294634,      -233.8943340708
       9.92639585373,      -236.7633807608
       9.93032211574,      -239.5345285228
       9.93405206466,      -242.2179751106
       9.93759551613,      -244.8275935664
       9.94096179503,      -247.3821672803
       9.94415975998,      -249.9068759275
       9.94719782668,      -252.4350191326
       9.95008399005,      -255.0099475031
       9.95282584525,      -257.6871568894
       9.95543060769,      -260.5364949599
       9.95790513201,      -263.6444330414
       9.96025593011,      -267.1163724027
       9.96248918831,      -271.0789830631
        9.9646107836,      -275.6826121339
       9.96662629912,      -281.1038428147
       9.96854103887,      -287.5483275987
       9.97036004163,      -295.2540523571
       9.97208809425,      -304.4952049208
       9.97372974424,      -315.5868185835
       9.97528931173,        -328.89033849
       9.97677090085,      -344.8202234928
       9.97817841051,      -363.8516571977
       9.97951554469,       -386.529405259
       9.98078582215,      -413.4778161518
       9.98199258575,      -445.4119039127
       9.98313901117,      -483.1493598537
       9.98422811531,      -527.6232179336
       9.98526276425,      -579.8947638979
       9.98624568074,      -641.1661536928
        9.9871794514,      -712.7921061471
       9.98806653354,      -796.2899626754
       9.98890926156,       -893.347362803
       9.98970985319,     -1005.8267698411
       9.99047041523,     -1135.7660996017
       9.99119294917,     -1285.3747615653
       9.99187935642,     -1457.0245204007
        9.9925314433,     -1653.2347279941
       9.99315092584,     -1876.6516598079
       9.99373943425,     -2130.0219085027
       9.99429851724,      -2416.160032959
       9.99482964608,     -2737.9109183456
       9.99533421848,     -3098.1075585379
       9.99581356226,     -3499.5252097306
       9.99626893885,     -3944.8330681586
       9.99670154661,     -4436.5447822346
       9.99711252398,     -4976.9692101093
       9.99750295249,     -5568.1628698903
       9.99787385957,     -6211.8855010413
       9.99822622129,     -6909.5600622346
       9.99856096493,      -7662.238340458
       9.99887897139,     -8470.5731473824
       9.99918107752,     -9334.7978438288
       9.99946807835,    -10254.7136756997
       9.99974072913,    -11229.6851375396
       9.99999974738,    -12258.6454103175
       10.0000208413,    -12347.0841956474
       10.0000425137,    -12438.5979809415
        10.000066641,    -12541.2573091505
        10.000092632,    -12652.7731796554
       10.0001150737,    -12749.8395347909
       10.0001427241,    -12870.4361122191
       10.0001767922,    -13020.5569103852
       10.0002187675,    -13207.8755126616
       10.0002432783,    -13318.4725728899
       10.0002704852,    -13442.2954961174
        10.000300685,    -13581.0568814446
       10.0003342066,    -13736.7219823956
       10.0003714157,    -13911.5531279647
       10.0004127178,    -14108.1635621759
       10.0004585631,    -14329.5830586162
       10.0005094514,    -14579.3383475169
       10.0005659374,    -14861.5522873199
       10.0006286369,     -15181.066915973
       10.0006982333,     -15543.597120278
       10.0007754853,      -15955.92384918
        10.000861235,     -16426.138765452
       10.0009564173,     -16963.956334439
       10.0010620695,     -17581.115033685
       10.0011793435,     -18291.897354023
       10.0013095176,     -19113.809558647
       10.0014540109,     -20068.478336936
       10.0016143985,     -21182.844873821
       10.0017924287,     -22490.771066174
       10.0019900422,     -24035.223270248
       10.0022093932,     -25871.274922956
       10.0024528728,     -28070.284815971
       10.0027231351,      -30725.78572446
       10.0030231263,     -33961.896453818
       10.0033561166,     -37945.512764891
       10.0037257358,       -42904.2475765
        10.004136013,     -49153.266770734
       10.0045914208,      -57136.13762399
       10.0050969235,     -67488.175638362
       10.0056580314,     -81136.656633681
       10.0062808612,     -99462.760005589
       10.0069722023,    -124569.302365729
       10.0077395909,    -159734.304589013
       10.0085913923,     -210199.73212205
       10.0095368917,     -284582.06053554
       10.0105863962,     -397471.78380293
       10.0117513461,     -574380.62455513
       10.0130444406,     -861486.79563082
       10.0144797754,     -1345552.7832576
        10.016072997,     -2196270.6499596
        10.017841473,     -3760154.5519672
       10.0198044814,     -6778257.4751912
       10.0219834207,    -12915559.1244349
       10.0244020433,     -26114465.787997
       10.0270867145,     -56243138.316749
       10.0300666994,    -129488978.467264
       10.0333744827,      -319722196.0774
       10.0370461221,     -848897984.91451
       10.0411216419,     -2428089436.7359
       10.0456454689,     -7485700808.8224
       10.0506669168,     -24845360683.131
        10.056240724,     -88465668374.922
         10.06242765,     -335680535571.25
       10.0692951379,     -1342739970639.7
       10.0769180494,       -5570267115044
       10.0853794812,      -23406593779728
       10.0947716705,      -96379604958650
       10.1051970006,     -371471410336100
        10.116769117,  -1.259302875826e+15
       10.1296141662,  -3.461332706854e+15
       10.1438721708,    -7.0075299777e+15
        10.159698556,   -9.57537295448e+15
       10.1772658435,    -8.5305661898e+15
       10.1967655326,    -5.1908854645e+15
       10.2184101876,    -2.3714864736e+15
       10.2424357545,     -884936971300000
       10.2691041339,     -283344311000000
        10.298706035,      -79420278800000
       10.3315641452,      -19554384200000
       10.3680366475,       -4211632800000
       10.4085211251,        -788020900000
       10.4534588952,        -127114800000
         10.50333982,         -17546000000
       10.5587076465,          -2058000000
        10.620165934,           -203800000
       10.6883846331,            -16900000
       10.7641073891,             -1200000
       10.8481596482,              -100000
       10.9414576559,                    0
       11.0450184444,                    0
       11.1599709196,                    0
       11.2875681671,                    0
       11.4292011119,                    0
       11.5864136805,                    0
       11.7609196318,                    0
       11.9546212376,                    0
       12.1696300201,                    0
       12.4082897686,                    0
       12.6732020895,                    0
       12.9672547657,                    0
       13.2936532363,                    0
       13.6559555387,                    0
       14.0581110943,                    0
        14.504503761,                    0
       14.9999996211,                    0
       15.2317110533,                    0
       15.4750080571,                    0
       15.7304699111,                    0
       15.9987048577,                    0
       16.2803515518,                    0
       16.5760805805,                    0
       16.8865960607,                    0
       17.2126373148,                    0
       17.5549806317,                    0
       17.9144411144,                    0
       18.2918746213,                    0
       18.6881798035,                    0
       19.1043002448,                    0
       19.5412267082,                    0
       19.9999994948,                    0

------------------------------------------------------------
 p - Hole Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
                   0,                    0
      0.487971470245,                    0
      0.951544366978,                    0
       1.39193861887,                    0
       1.81031315818,                    0
       2.20776897051,                    0
       2.58535199223,                    0
       2.94405586287,                    0
       3.28482453997,                    0
       3.60855478322,                    0
        3.9160985143,                    0
       4.20826505883,                    0
       4.48582327613,                    0
       4.74950358257,                    0
       4.99999987369,                    0
       5.25024593471,                    0
       5.48797969268,                    0
       5.71382676274,                    0
       5.92838147931,                    0
       6.13220846005,                    0
       6.32584409175,                    0
       6.50979794186,                    0
       6.68455409947,                    0
        6.8505724492,                    0
       7.00828988145,                    0
       7.15812144208,                    0
       7.30046142468,                    0
       7.43568440815,                    0
       7.56414624244,                    0
       7.68618498502,                    0
       7.80212179047,                    0
       7.91226175565,                    0
       8.01689472257,                    0
       8.11629604115,                    0
       8.21072729379,                    0
       8.30043698381,                    0
       8.38566118932,                    0
       8.46662418456,                    0
       8.54353903003,                    0
       8.61660813323,                    0
       8.68602378128,                    0
       8.75196864691,                    0
       8.81461626927,                    0
       8.87413151051,                    0
       8.93067098969,                    0
       8.98438349491,                    0
       9.03541037487,                    0
       9.08388591083,                    0
       9.12993766999,                    0
       9.17368684119,                    0
       9.21524855383,                    0
       9.25473218085,                    0
       9.29224162651,                    0
       9.32787559988,                    0
       9.36172787459,                    0
       9.39388753557,                    0
       9.42443921349,                    0
       9.45346330752,                    0
       9.48103619685,                    0
       9.50723044171,                    0
       9.53211497433,                    0
       9.55575528031,                    0
         9.578213571,                    0
       9.59954894715,                    0
        9.6198175545,                    0
       9.63907273148,                    0
       9.65736514961,                    0
       9.67474294683,                    0
       9.69125185419,                    0
       9.70693531618,                    0
       9.72183460508,                    0
       9.73598892953,                    0
       9.74943553775,                    0
       9.76220981557,                    0
       9.77434537949,                    0
       9.78587416522,                    0
       9.79682651166,                    0
       9.80723124078,             -1000000
       9.81711573345,             -5000000
       9.82650600148,            -18000000
       9.83542675611,            -59000000
       9.84390147301,           -189000000
       9.85195245406,           -575000000
       9.85960088606,          -1660000000
       9.86686689646,          -4556000000
       9.87376960634,         -11934000000
       9.88032718072,         -29876000000
       9.88655687639,         -71625000000
       9.89247508728,        -164738000000
       9.89809738761,        -364146000000
       9.90343857294,        -774921000000
       9.90851269899,       -1590242000000
       9.91333311875,       -3152052000000
       9.91791251751,       -6043962000000
       9.92226294634,      -11227859000000
       9.92639585373,      -20236742000000
       9.93032211574,      -35436061000000
       9.93405206466,      -60363400000000
       9.93759551613,     -100150893000000
       9.94096179503,     -162025295000000
       9.94415975998,     -255866286000000
       9.94719782668,     -394783423000000
       9.95008399005,     -595645736000000
       9.95282584525,     -879465857000000
       9.95543060769,      -1.27150485e+15
       9.95790513201,     -1.800930287e+15
       9.96025593011,     -2.499837948e+15
       9.96248918831,     -3.401451821e+15
        9.9646107836,     -4.537366394e+15
       9.96662629912,      -5.93380834e+15
       9.96854103887,     -7.607082057e+15
       9.97036004163,     -9.558616187e+15
       9.97208809425,    -1.1770306144e+16
       9.97372974424,    -1.4201075386e+16
       9.97528931173,    -1.6785655608e+16
       9.97677090085,    -1.9436420042e+16
       9.97817841051,    -2.2048654405e+16
       9.97951554469,    -2.4508972172e+16
       9.98078582215,    -2.6705835788e+16
       9.98199258575,    -2.8540559989e+16
       9.98313901117,      -2.99369545e+16
       9.98422811531,    -3.0848006755e+16
       9.98526276425,    -3.1258646057e+16
       9.98624568074,    -3.1184467396e+16
        9.9871794514,    -3.0667073127e+16
       9.98806653354,   -2.97672101517e+16
       9.98890926156,   -2.85570504804e+16
       9.98970985319,   -2.71128177914e+16
       9.99047041523,   -2.55086158669e+16
       9.99119294917,   -2.38119027556e+16
       9.99187935642,   -2.20806866386e+16
        9.9925314433,   -2.03622568853e+16
       9.99315092584,   -1.86931208719e+16
       9.99373943425,   -1.70997759884e+16
       9.99429851724,   -1.55999748271e+16
       9.99482964608,   -1.42042071666e+16
       9.99533421848,   -1.29171993439e+16
       9.99581356226,   -1.17393034406e+16
       9.99626893885,   -1.06677071539e+16
       9.99670154661,    -9.6974379588e+15
       9.99711252398,    -8.8221633722e+15
       9.99750295249,   -8.03480560622e+15
       9.99787385957,   -7.32799680582e+15
       9.99822622129,   -6.69440326164e+15
       9.99856096493,   -6.12694573128e+15
       9.99887897139,   -5.61893993329e+15
       9.99918107752,   -5.16417748681e+15
       9.99946807835,   -4.75696373619e+15
       9.99974072913,   -4.39212537294e+15
       9.99999974738,   -4.06499773926e+15
       10.0000001659,    -4.0644846892e+15
       10.0000006305,   -4.06391527921e+15
       10.0000011463,   -4.06328332725e+15
       10.0000017187,   -4.06258197529e+15
       10.0000023541,   -4.06180361592e+15
       10.0000030594,   -4.06093981111e+15
       10.0000038423,   -4.05998120221e+15
       10.0000047113,   -4.05891741049e+15
       10.0000056759,   -4.05773692706e+15
       10.0000067466,   -4.05642699123e+15
       10.0000079351,    -4.0549734561e+15
       10.0000092543,   -4.05336064012e+15
       10.0000107186,    -4.0515711632e+15
        10.000012344,   -4.04958576604e+15
       10.0000141482,    -4.0473831109e+15
