------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Charge Density (/cm3)
                   0,        2835.82225569
      0.487971470245,        2836.16134752
      0.951544366978,         2836.7780879
       1.39193861887,         2838.1134525
       1.81031315818,        2841.00340029
       2.20776897051,        2847.05778159
       2.58535199223,        2859.28538073
       2.94405586287,        2883.10672607
       3.28482453997,        2927.93542914
       3.60855478322,        3009.55036426
        3.9160985143,        3153.51514986
       4.20826505883,        3399.91759758
       4.48582327613,        3809.68911731
       4.74950358257,        4472.71280058
       4.99999987369,        5517.83273585
       5.25024593471,        7223.84528637
       5.48797969268,        9847.18008667
       5.71382676274,        13785.1931558
       5.92838147931,        19564.1152724
       6.13220846005,        27863.9707277
       6.32584409175,        39543.1746307
       6.50979794186,        55661.2056775
       6.68455409947,        77497.5909821
        6.8505724492,        106565.397007
       7.00828988145,        144617.538156
       7.15812144208,        193644.512171
       7.30046142468,        255862.618693
       7.43568440815,        333692.248676
       7.56414624244,        429726.389024
       7.68618498502,        546690.033437
       7.80212179047,        687391.699784
       7.91226175565,        854668.695466
       8.01689472257,        1051328.11311
       8.11629604115,        1280085.75548
       8.21072729379,        1543505.26972
       8.30043698381,        1843939.71863
       8.38566118932,        2183477.64448
       8.46662418456,        2563895.40901
       8.54353903003,        2986617.24853
       8.61660813323,         3452684.0922
       8.68602378128,        3962731.78345
       8.75196864691,         4516978.9425
       8.81461626927,        5115224.33384
       8.87413151051,        5756853.27305
       8.93067098969,        6440852.33241
       8.98438349491,        7165831.39174
       9.03541037487,        7930051.93118
       9.08388591083,        8731460.37412
       9.12993766999,        9567725.25626
       9.17368684119,        10436277.0142
       9.21524855383,        11334349.2449
       9.25473218085,         12259020.378
       9.29224162651,        13207254.8163
       9.32787559988,        14175942.7288
       9.36172787459,         15161937.817
       9.39388753557,        16162092.5124
       9.42443921349,        17173290.1972
       9.45346330752,        18192474.1671
       9.48103619685,        19216673.1723
       9.50723044171,        20243023.4821
       9.53211497433,        21268787.5296
       9.55575528031,        22291369.3098
         9.578213571,        23308326.8688
       9.59954894715,        24317382.4671
        9.6198175545,        25316431.4065
       9.63907273148,        26303551.1866
       9.65736514961,        27277013.7314
       9.67474294683,        28235305.0564
       9.69125185419,        29177159.0642
       9.70693531618,        30101615.2273
       9.72183460508,        31008113.6786
       9.73598892953,        31896645.4409
       9.74943553775,        32767979.7103
       9.76220981557,        33623993.6384
       9.77434537949,        34468132.2214
       9.78587416522,        35306026.1881
       9.79682651166,        36146294.1516
       9.80723124078,        37001552.6184
       9.81711573345,        37889655.7853
       9.82650600148,        38835189.8817
       9.83542675611,        39871258.9008
       9.84390147301,        41041625.6198
       9.85195245406,         42403319.804
       9.85960088606,        44029899.9298
       9.86686689646,        46015660.2373
       9.87376960634,        48481215.1844
       9.88032718072,        51581072.2599
       9.88655687639,        55514027.0291
       9.89247508728,        60537490.0446
       9.89809738761,        66987197.2188
       9.90343857294,        75304181.2707
       9.90851269899,        86071412.1892
       9.91333311875,        100063167.831
       9.91791251751,        118310982.719
       9.92226294634,        142190939.896
       9.92639585373,        173538091.039
       9.93032211574,        214794857.544
       9.93405206466,        269201287.315
       9.93759551613,        341035885.124
       9.94096179503,        435916224.452
       9.94415975998,         561168476.09
       9.94719782668,        726274122.343
       9.95008399005,        943400234.945
       9.95282584525,         1228016581.7
       9.95543060769,        1599598363.72
       9.95790513201,        2082407555.48
       9.96025593011,        2706338754.18
       9.96248918831,        3507807447.79
        9.9646107836,        4530650164.82
       9.96662629912,        5826997720.54
       9.96854103887,         7458075487.7
       9.97036004163,        9494879111.14
       9.97208809425,        12018671136.2
       9.97372974424,        15121244283.2
       9.97528931173,          18904901010
       9.97677090085,        23482106710.6
       9.97817841051,        28974785218.2
       9.97951554469,        35513239701.9
       9.98078582215,        43234698745.5
       9.98199258575,        52281505333.6
       9.98313901117,        62798984441.9
       9.98422811531,        74933041729.8
       9.98526276425,        88827560315.7
       9.98624568074,         104621673837
        9.9871794514,         122447001242
       9.98806653354,         142424931667
       9.98890926156,         164664046216
       9.98970985319,         189257757776
       9.99047041523,         216282240606
       9.99119294917,         245794709135
       9.99187935642,         277832090936
        9.9925314433,         312410123243
       9.99315092584,         349522886420
       9.99373943425,         389142772371
       9.99429851724,         431220871717
       9.99482964608,         475687751137
       9.99533421848,         522454582068
       9.99581356226,         571414574117
       9.99626893885,         622444661215
       9.99670154661,         675407385587
       9.99711252398,         730152923905
       9.99750295249,         786521201298
       9.99787385957,         844344041773
       9.99822622129,         903447307908
       9.99856096493,         963652987866
       9.99887897139,        1024781193650
       9.99918107752,        1086652040730
       9.99946807835,        1149087385330
       9.99974072913,        1211912401960
       9.99999974738,        1274957476580
       10.0000208413,        1280233280540
       10.0000425137,        1285675291460
        10.000066641,        1291759452460
        10.000092632,        1298344057150
       10.0001150737,        1304054988870
       10.0001427241,        1311124095790
       10.0001767922,        1319883776050
       10.0002187675,        1330752682770
       10.0002432783,        1337138483670
       10.0002704852,        1344260648940
        10.000300685,        1352208250570
       10.0003342066,        1361082105930
       10.0003714157,        1370996549470
       10.0004127178,        1382081521450
       10.0004585631,        1394485040560
       10.0005094514,        1408376144440
       10.0005659374,        1423948402770
       10.0006286369,        1441424134640
       10.0006982333,        1461059497230
       10.0007754853,        1483150657420
        10.000861235,        1508041317760
       10.0009564173,        1536131945150
       10.0010620695,        1567891153740
       10.0011793435,        1603869829620
       10.0013095176,        1644718767650
       10.0014540109,        1691210837760
       10.0016143985,        1744269032910
       10.0017924287,        1805002210680
       10.0019900422,        1874750975030
       10.0022093932,        1955147029100
       10.0024528728,        2048190573120
       10.0027231351,        2156352084810
       10.0030231263,        2282707346040
       10.0033561166,        2431118233820
       10.0037257358,        2606477136100
        10.004136013,        2815040746370
       10.0045914208,        3064890786050
       10.0050969235,        3366577030970
       10.0056580314,        3734025288660
       10.0062808612,        4185835201730
       10.0069722023,        4747158975550
       10.0077395909,        5452457325240
