------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
                   0,                    0
      0.487971470245,    0.339091830000143
      0.951544366978,    0.955832210000153
       1.39193861887,      2.2911968100002
       1.81031315818,     5.18114460000015
       2.20776897051,     11.2355259000001
       2.58535199223,     23.4631250399998
       2.94405586287,     47.2844703800001
       3.28482453997,          92.11317345
       3.60855478322,         173.72810857
        3.9160985143,         317.69289417
       4.20826505883,         564.09534189
       4.48582327613,         973.86686162
       4.74950358257,        1636.89054489
       4.99999987369,        2682.01048016
       5.25024593471,        4388.02303068
       5.48797969268,        7011.35783098
       5.71382676274,       10949.37090011
       5.92838147931,       16728.29301671
       6.13220846005,       25028.14847201
       6.32584409175,       36707.35237501
       6.50979794186,       52825.38342181
       6.68455409947,       74661.76872641
        6.8505724492,      103729.57475131
       7.00828988145,      141781.71590031
       7.15812144208,      190808.68991531
       7.30046142468,      253026.79643731
       7.43568440815,      330856.42642031
       7.56414624244,      426890.56676831
       7.68618498502,      543854.21118131
       7.80212179047,      684555.87752831
       7.91226175565,      851832.87321031
       8.01689472257,     1048492.29085431
       8.11629604115,     1277249.93322431
       8.21072729379,     1540669.44746431
       8.30043698381,     1841103.89637431
       8.38566118932,     2180641.82222431
       8.46662418456,     2561059.58675431
       8.54353903003,     2983781.42627431
       8.61660813323,     3449848.26994431
       8.68602378128,     3959895.96119431
       8.75196864691,     4514143.12024431
       8.81461626927,     5112388.51158431
       8.87413151051,     5754017.45079431
       8.93067098969,     6438016.51015431
       8.98438349491,     7162995.56948431
       9.03541037487,     7927216.10892431
       9.08388591083,     8728624.55186431
       9.12993766999,     9564889.43400431
       9.17368684119,     10433441.1919443
       9.21524855383,     11331513.4226443
       9.25473218085,     12256184.5557443
       9.29224162651,     13204418.9940443
       9.32787559988,     14173106.9065443
       9.36172787459,     15159101.9947441
       9.39388753557,     16159256.6901436
       9.42443921349,     17170454.3749418
       9.45346330752,     18189638.3448354
       9.48103619685,     19213837.3500149
       9.50723044171,     20240187.6597525
       9.53211497433,     21265951.7070722
       9.55575528031,     22288533.4867769
         9.578213571,     23305491.0444818
       9.59954894715,      24314546.639551
        9.6198175545,     25313595.5712485
       9.63907273148,     26300715.3337648
       9.65736514961,     27274177.8400584
       9.67474294683,      28232469.084024
       9.69125185419,      29174322.927661
       9.70693531618,     30098778.7700744
       9.72183460508,     31005276.6163116
       9.73598892953,     31893807.2741986
       9.74943553775,     32765139.5903418
       9.76220981557,     33621150.1659876
       9.77434537949,     34465283.1562776
       9.78587416522,     35303168.0399696
       9.79682651166,     36143421.6187455
