------------------------------------------------------------
 Recombination Rate (at applied bias)
------------------------------------------------------------
Position (um), Recombination Rate (/cm3s)
                   0,       0.109952182596
      0.487971470245,        3390916366.38
      0.951544366978,        9558316638.13
       1.39193861887,        22911954961.4
       1.81031315818,        51811416415.8
       2.20776897051,         112355195010
       2.58535199223,         234631116734
       2.94405586287,         472844434521
       3.28482453997,         921131210056
       3.60855478322,        1737280096610
        3.9160985143,        3176927133090
       4.20826505883,        5640950207460
       4.48582327613,        9738663072010
       4.74950358257,       16368896130100
       4.99999987369,       26820089533100
       5.25024593471,       43880205326100
       5.48797969268,       70113538394600
       5.71382676274,      109493646667000
       5.92838147931,      167282834934000
       6.13220846005,      250281342237000
       6.32584409175,      367073314777000
       6.50979794186,      528253533487000
       6.68455409947,      746617262219000
        6.8505724492,    1.03729515699e+15
       7.00828988145,    1.41781635185e+15
       7.15812144208,    1.90808581288e+15
       7.30046142468,    2.53026652389e+15
       7.43568440815,    3.30856238063e+15
       7.56414624244,    4.26890323738e+15
       7.68618498502,    5.43853901561e+15
       7.80212179047,    6.84555487802e+15
       7.91226175565,    8.51832388247e+15
       8.01689472257,    1.04849169392e+16
       8.11629604115,    1.27724920605e+16
       8.21072729379,    1.54066857031e+16
       8.30043698381,    1.84110284815e+16
       8.38566118932,    2.18064058066e+16
       8.46662418456,    2.56105812858e+16
       8.54353903003,    2.98377972738e+16
       8.61660813323,    3.44984630563e+16
       8.68602378128,    3.95989370641e+16
       8.75196864691,     4.5141405498e+16
       8.81461626927,    5.11238560039e+16
       8.87413151051,    5.75401417413e+16
       8.93067098969,    6.43801284385e+16
       8.98438349491,    7.16299149018e+16
       9.03541037487,    7.92721159423e+16
       9.08388591083,    8.72861958055e+16
       9.12993766999,    9.56488398617e+16
       9.17368684119,    1.04334352492e+17
       9.21524855383,    1.13315069681e+17
       9.25473218085,    1.22561775741e+17
       9.29224162651,    1.32044114719e+17
       9.32787559988,    1.41730988322e+17
       9.36172787459,    1.51590933583e+17
       9.39388753557,    1.61592474834e+17
       9.42443921349,    1.71704445915e+17
       9.45346330752,    1.81896279802e+17
       9.48103619685,    1.92138264012e+17
       9.50723044171,    2.02401761256e+17
       9.53211497433,    2.12659395878e+17
       9.55575528031,    2.22885207844e+17
         9.578213571,    2.33054777626e+17
       9.59954894715,    2.43145327839e+17
        9.6198175545,    2.53135811503e+17
       9.63907273148,    2.63007003605e+17
       9.65736514961,    2.72741623355e+17
       9.67474294683,    2.82324530835e+17
       9.69125185419,    2.91743064932e+17
       9.70693531618,    3.00987620103e+17
       9.72183460508,     3.1005259721e+17
       9.73598892953,    3.18937905689e+17
       9.74943553775,     3.2765123621e+17
       9.76220981557,    3.36211358251e+17
       9.77434537949,    3.44652718668e+17
       9.78587416522,    3.53031620137e+17
       9.79682651166,    3.61434242144e+17
       9.80723124078,    3.69986740411e+17
       9.81711573345,    3.78867644083e+17
       9.82650600148,    3.88322798216e+17
       9.83542675611,    3.98683219994e+17
       9.84390147301,    4.10386507621e+17
       9.85195245406,    4.24002920745e+17
       9.85960088606,    4.40267995652e+17
       9.86686689646,     4.6012461309e+17
       9.87376960634,    4.84778839166e+17
       9.88032718072,    5.15775648423e+17
       9.88655687639,    5.55102867249e+17
       9.89247508728,    6.05334433111e+17
       9.89809738761,    6.69827484469e+17
       9.90343857294,    7.52992055966e+17
       9.90851269899,    8.60657456194e+17
       9.91333311875,    1.00056593624e+18
       9.91791251751,    1.18303212532e+18
       9.92226294634,    1.42181587584e+18
       9.92639585373,    1.73526636035e+18
       9.93032211574,    2.14780593292e+18
       9.93405206466,    2.69183247921e+18
       9.93759551613,    3.41012739678e+18
       9.94096179503,    4.35886122331e+18
       9.94415975998,    5.61128816324e+18
       9.94719782668,    7.26221202805e+18
       9.95008399005,    9.43328707526e+18
       9.95282584525,    1.22791858871e+19
       9.95543060769,    1.59946214269e+19
       9.95790513201,    2.08221514606e+19
       9.96025593011,    2.70606217388e+19
       9.96248918831,    3.50740223679e+19
        9.9646107836,    4.53004439056e+19
       9.96662629912,    5.82607313664e+19
       9.96854103887,    7.45663516554e+19
       9.97036004163,    9.49259188639e+19
       9.97208809425,    1.20149767006e+20
       9.97372974424,    1.51151923535e+20
       9.97528931173,    1.88948818767e+20
       9.97677090085,    2.34654062397e+20
       9.97817841051,    2.89468622557e+20
       9.97951554469,    3.54665748666e+20
       9.98078582215,    4.31569982429e+20
       9.98199258575,     5.2152960423e+20
       9.98313901117,    6.25881878253e+20
       9.98422811531,    7.45910517802e+20
       9.98526276425,    8.82794939494e+20
       9.98624568074,    1.03755117538e+21
        9.9871794514,    1.21096484106e+21
       9.98806653354,    1.40351738845e+21
       9.98890926156,    1.61530805164e+21
       9.98970985319,    1.84597541432e+21
       9.99047041523,    2.09462428475e+21
       9.99119294917,    2.35976533056e+21
       9.99187935642,     2.6392763331e+21
        9.9925314433,     2.9303944872e+21
       9.99315092584,     3.2297483868e+21
       9.99373943425,    3.53343580103e+21
       9.99429851724,     3.8371489565e+21
       9.99482964608,    4.13634315338e+21
       9.99533421848,     4.4264380268e+21
       9.99581356226,    4.70303490012e+21
       9.99626893885,    4.96212984947e+21
       9.99670154661,    5.20030139247e+21
