------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,   -9.41050961504e-13
      0.487971470245,   -4.59594563354e-13
      0.951544366978,                   -0
       1.39193861887,                   -0
       1.81031315818,                   -0
       2.20776897051,                   -0
       2.58535199223,                   -0
       2.94405586287,                   -0
       3.28482453997,                   -0
       3.60855478322,                   -0
        3.9160985143,                   -0
       4.20826505883,                   -0
       4.48582327613,                   -0
       4.74950358257,                   -0
       4.99999987369,                   -0
       5.25024593471,                   -0
       5.48797969268,                   -0
       5.71382676274,                   -0
       5.92838147931,                   -0
       6.13220846005,                   -0
       6.32584409175,                   -0
       6.50979794186,                   -0
       6.68455409947,                   -0
        6.8505724492,                   -0
       7.00828988145,                   -0
       7.15812144208,                   -0
       7.30046142468,                   -0
       7.43568440815,                   -0
       7.56414624244,                   -0
       7.68618498502,                   -0
       7.80212179047,                   -0
       7.91226175565,                   -0
       8.01689472257,                   -0
       8.11629604115,                   -0
       8.21072729379,                   -0
       8.30043698381,                   -0
       8.38566118932,                   -0
       8.46662418456,                   -0
       8.54353903003,                   -0
       8.61660813323,                   -0
       8.68602378128,                   -0
       8.75196864691,                   -0
       8.81461626927,                   -0
       8.87413151051,                   -0
       8.93067098969,                   -0
       8.98438349491,   -4.61501662832e-12
       9.03541037487,   -4.38427854032e-12
       9.08388591083,   -1.02271889539e-11
       9.12993766999,   -7.43086330358e-11
       9.17368684119,   -4.18323424217e-10
       9.21524855383,   -2.22381489619e-09
       9.25473218085,   -1.10946965026e-08
       9.29224162651,   -5.16890953355e-08
       9.32787559988,    -2.2553236909e-07
       9.36172787459,   -9.24027146551e-07
       9.39388753557,   -3.56170737139e-06
       9.42443921349,   -1.29418508267e-05
       9.45346330752,   -4.44191945369e-05
       9.48103619685,   -0.000144294121378
       9.50723044171,    -0.00044452047898
       9.53211497433,    -0.00130122635796
       9.55575528031,     -0.0036263831366
         9.578213571,     -0.0096401310076
       9.59954894715,     -0.0244903018893
        9.6198175545,     -0.0595667573691
       9.63907273148,       -0.13896026452
       9.65736514961,      -0.311467375791
       9.67474294683,       -0.67190370737
       9.69125185419,        -1.3972977034
       9.70693531618,       -2.80575300804
       9.72183460508,       -5.44821635749
       9.73598892953,       -10.2457137264
       9.74943553775,       -18.6862328207
       9.76220981557,       -33.0954648127
       9.77434537949,       -56.9928605479
       9.78587416522,       -95.5372847153
       9.79682651166,       -156.052895076
       9.80723124078,       -248.603328939
       9.81711573345,       -386.548658676
       9.82650600148,       -586.974355677
       9.83542675611,       -870.828658625
       9.84390147301,       -1262.55707596
       9.85195245406,       -1789.00618717
       9.85960088606,       -2477.42239888
       9.86686689646,        -3352.5349116
       9.87376960634,       -4432.99726181
       9.88032718072,       -5727.81060567
       9.88655687639,       -7233.61743858
       9.89247508728,       -8933.74690474
       9.89809738761,       -10799.5033037
       9.90343857294,       -12793.5151329
       9.90851269899,       -14874.3035057
       9.91333311875,       -17000.9115999
       9.91791251751,       -19136.5886308
       9.92226294634,         -21251.00139
       9.92639585373,       -23320.9746377
       9.93032211574,       -25330.1170175
       9.93405206466,       -27267.8062772
       9.93759551613,       -29127.9467861
