------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       2.60398681e-12
                  -0,       2.60398681e-12
      -0.00202020202,      -5.12274514e-07
      -0.00404040404,      -1.01028439e-06
      -0.00606060606,      -1.49464937e-06
      -0.00808080808,      -1.96603869e-06
       -0.0101010101,      -2.42503042e-06
       -0.0121212121,       -2.8722287e-06
       -0.0141414141,      -3.30815172e-06
       -0.0161616162,      -3.73333589e-06
       -0.0181818182,      -4.14829682e-06
       -0.0202020202,      -4.55348758e-06
       -0.0222222222,      -4.94942377e-06
       -0.0242424242,        -5.336496e-06
       -0.0262626263,      -5.71517297e-06
       -0.0282828283,      -6.08580102e-06
       -0.0303030303,       -6.4488124e-06
       -0.0323232323,      -6.80454825e-06
       -0.0343434343,      -7.15335489e-06
       -0.0363636364,      -7.49557604e-06
       -0.0383838384,      -7.83153461e-06
       -0.0404040404,      -8.16153265e-06
       -0.0424242424,      -8.48586962e-06
       -0.0444444444,      -8.80478509e-06
       -0.0464646465,      -9.11857852e-06
       -0.0484848485,      -9.42748427e-06
       -0.0505050505,      -9.73174451e-06
       -0.0525252525,       -1.0031591e-05
       -0.0545454545,       -1.0327219e-05
       -0.0565656566,      -1.06188473e-05
       -0.0585858586,      -1.09066634e-05
       -0.0606060606,      -1.11908443e-05
       -0.0626262626,      -1.14716035e-05
       -0.0646464646,      -1.17490687e-05
       -0.0666666667,      -1.20233909e-05
       -0.0686868687,       -1.2294768e-05
       -0.0707070707,      -1.25633015e-05
       -0.0727272727,      -1.28291243e-05
       -0.0747474747,      -1.30923874e-05
       -0.0767676768,      -1.33531949e-05
       -0.0787878788,      -1.36116797e-05
       -0.0808080808,      -1.38679484e-05
       -0.0828282828,      -1.41220637e-05
       -0.0848484848,      -1.43741791e-05
       -0.0868686869,      -1.46243779e-05
       -0.0888888889,      -1.48727045e-05
       -0.0909090909,      -1.51192891e-05
       -0.0929292929,       -1.5364194e-05
       -0.0949494949,      -1.56074845e-05
        -0.096969697,      -1.58492465e-05
        -0.098989899,      -1.60895241e-05
        -0.101010101,      -1.63284035e-05
        -0.103030303,      -1.65659496e-05
        -0.105050505,      -1.68022041e-05
        -0.107070707,      -1.70372087e-05
        -0.109090909,      -1.72710311e-05
        -0.111111111,      -1.75037337e-05
        -0.113131313,      -1.77353167e-05
        -0.115151515,      -1.79658685e-05
        -0.117171717,      -1.81953865e-05
        -0.119191919,      -1.84239358e-05
        -0.121212121,      -1.86515581e-05
        -0.123232323,      -1.88782586e-05
        -0.125252525,      -1.91040737e-05
        -0.127272727,      -1.93290504e-05
        -0.129292929,      -1.95532094e-05
        -0.131313131,      -1.97765716e-05
        -0.133333333,      -1.99991604e-05
        -0.135353535,      -2.02209966e-05
        -0.137373737,      -2.04420985e-05
        -0.139393939,       -2.0662513e-05
        -0.141414141,        -2.088224e-05
        -0.143434343,      -2.11012769e-05
        -0.145454545,      -2.13196889e-05
        -0.147474747,      -2.15374577e-05
        -0.149494949,       -2.1754599e-05
        -0.151515152,      -2.19711622e-05
        -0.153535354,      -2.21871212e-05
        -0.155555556,      -2.24025022e-05
        -0.157575758,      -2.26173207e-05
         -0.15959596,      -2.28316001e-05
        -0.161616162,      -2.30453666e-05
        -0.163636364,      -2.32585915e-05
        -0.165656566,      -2.34713033e-05
        -0.167676768,      -2.36835179e-05
         -0.16969697,      -2.38952376e-05
        -0.171717172,      -2.41064834e-05
        -0.173737374,      -2.43172579e-05
        -0.175757576,      -2.45275793e-05
        -0.177777778,      -2.47374268e-05
         -0.17979798,      -2.49468447e-05
        -0.181818182,      -2.51558094e-05
        -0.183838384,      -2.53643445e-05
        -0.185858586,      -2.55724499e-05
        -0.187878788,       -2.5780123e-05
         -0.18989899,        -2.598739e-05
        -0.191919192,      -2.61942455e-05
        -0.193939394,      -2.64006948e-05
        -0.195959596,      -2.66067326e-05
        -0.197979798,      -2.68123616e-05
                -0.2,      -2.70175845e-05

