------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Charge Density (/cm3)
                   0,        283.582225569
      0.487971470245,        283.582225569
      0.951544366978,        283.582225568
       1.39193861887,        283.582225565
       1.81031315818,        283.582225554
       2.20776897051,        283.582225522
       2.58535199223,        283.582225431
       2.94405586287,        283.582225187
       3.28482453997,        283.582224564
       3.60855478322,        283.582223043
        3.9160985143,         283.58221949
       4.20826505883,        283.582211536
       4.48582327613,        283.582194444
       4.74950358257,        283.582159118
       4.99999987369,        283.582088776
       5.25024593471,        283.581944842
       5.48797969268,        283.581668153
       5.71382676274,        283.581154502
       5.92838147931,        283.580231616
       6.13220846005,        283.578624152
       6.32584409175,        283.575905936
       6.50979794186,        283.571437277
       6.68455409947,        283.564285813
        6.8505724492,        283.553130359
       7.00828988145,        283.536148654
       7.15812144208,        283.510891652
       7.30046142468,        283.474148874
       7.43568440815,        283.421811259
       7.56414624244,        283.348739558
       7.68618498502,        283.248647485
       7.80212179047,        283.114009359
       7.91226175565,        282.936001745
       8.01689472257,        282.704487475
       8.11629604115,        282.408048688
       8.21072729379,        282.034072985
       8.30043698381,         281.56889397
       8.38566118932,        280.997984292
       8.46662418456,        280.306196323
       8.54353903003,        279.478042824
       8.61660813323,        278.498007727
       8.68602378128,         277.35087555
       8.75196864691,        276.022067109
       8.81461626927,        274.497969036
       8.87413151051,        272.766245213
       8.93067098969,        270.816119403
       8.98438349491,         268.63862003
       9.03541037487,        266.226780094
       9.08388591083,        263.575787364
       9.12993766999,        260.683082268
       9.17368684119,        257.548403031
       9.21524855383,        254.173779568
       9.25473218085,        250.563479343
       9.29224162651,        246.723909769
       9.32787559988,        242.663482733
       9.36172787459,        238.392447549
       9.39388753557,        233.922698957
       9.42443921349,        229.267566878
       9.45346330752,        224.441594422
       9.48103619685,         219.46031026
       9.50723044171,        214.340000922
       9.53211497433,        209.097487914
       9.55575528031,        203.749913817
         9.578213571,        198.314540787
       9.59954894715,        192.808564133
        9.6198175545,        187.248942907
       9.63907273148,        181.652248814
       9.65736514961,         176.03453412
       9.67474294683,        170.411218731
       9.69125185419,        164.796996171
       9.70693531618,        159.205757795
       9.72183460508,        153.650534322
       9.73598892953,        148.143453513
       9.74943553775,        142.695712682
       9.76220981557,         137.31756464
       9.77434537949,         132.01831558
       9.78587416522,        126.806333466
       9.79682651166,         121.68906545
       9.80723124078,        116.673062944
       9.81711573345,        111.764013021
       9.82650600148,        106.966774923
       9.83542675611,        102.285420546
       9.84390147301,        97.7232778919
       9.85195245406,        93.2829765918
       9.85960088606,        88.9664947355
       9.86686689646,        84.7752064089
       9.87376960634,        80.7099295097
       9.88032718072,        76.7709736578
       9.88655687639,        72.9581883053
       9.89247508728,        69.2710115177
       9.89809738761,        65.7085203184
       9.90343857294,        62.2694839208
       9.90851269899,        58.9524215536
       9.91333311875,        55.7556667791
       9.91791251751,         52.677440093
       9.92226294634,        49.7159310232
       9.92639585373,        46.8693898362
       9.93032211574,        44.1362272832
       9.93405206466,        41.5151187034
       9.93759551613,        39.0051064886
       9.94096179503,        36.6056927737
       9.94415975998,        34.3169126885
       9.94719782668,        32.1393780154
       9.95008399005,        30.0742819279
       9.95282584525,        28.1233577326
       9.95543060769,        26.2887879981
       9.95790513201,        24.5730646766
       9.96025593011,        22.9788051733
       9.96248918831,        21.5085331539
        9.9646107836,        20.1644358071
       9.96662629912,        18.9481113223
       9.96854103887,        17.8603221353
       9.97036004163,        16.9007721559
       9.97208809425,        16.0679307642
       9.97372974424,        15.3589327915
       9.97528931173,         14.769589271
       9.97677090085,        14.2945424502
       9.97817841051,        13.9275831393
       9.97951554469,         13.662116454
       9.98078582215,        13.4917222412
       9.98199258575,        13.4107278793
       9.98313901117,        13.4147103293
       9.98422811531,        13.5008716914
       9.98526276425,        13.6682720911
       9.98624568074,        13.9179363452
        9.9871794514,        14.2528668059
       9.98806653354,        14.6779954386
       9.98890926156,         15.200100306
       9.98970985319,        15.8277015589
       9.99047041523,        16.5709434483
       9.99119294917,        17.4414630347
       9.99187935642,        18.4522430793
        9.9925314433,        19.6174454559
       9.99315092584,        20.9522216921
       9.99373943425,        22.4724983973
       9.99429851724,         24.194736981
       9.99482964608,        26.1356689344
       9.99533421848,        28.3120098221
       9.99581356226,        30.7401568694
       9.99626893885,        33.4358765014
       9.99670154661,        36.4139893154
       9.99711252398,        39.6880606807
       9.99750295249,        43.2701054297
       9.99787385957,        47.1703149387
       9.99822622129,        51.3968143054
       9.99856096493,         55.955456382
       9.99887897139,        60.8496581676
       9.99918107752,        66.0802836012
       9.99946807835,        71.6455752003
       9.99974072913,        77.5411353604
       9.99999974738,        83.7578646825
       10.0000208413,        84.2951213526
       10.0000425137,        84.8511521585
        10.000066641,        85.4749752495
        10.000092632,        86.1527023446
       10.0001150737,        86.7426858091
       10.0001427241,        87.4757812809
       10.0001767922,        88.3884917148
       10.0002187675,        89.5275721384
       10.0002432783,        90.2002195101
       10.0002704852,        90.9534003826
        10.000300685,        91.7975642554
       10.0003342066,        92.7447068044
       10.0003714157,        93.8086426353
       10.0004127178,        95.0053360241
       10.0004585631,        96.3533041838
       10.0005094514,        97.8741117831
       10.0005659374,        99.5929809801
       10.0006286369,        101.539548627
       10.0006982333,        103.748812222
       10.0007754853,         106.26231962
        10.000861235,        109.129675848
       10.0009564173,        112.410465561
       10.0010620695,        116.176724715
       10.0011793435,        120.516143977
       10.0013095176,        125.536255753
       10.0014540109,        131.369955664
       10.0016143985,        138.182852179
       10.0017924287,        146.183146626
       10.0019900422,        155.635053652
       10.0022093932,        166.877232244
       10.0024528728,        180.348393729
       10.0027231351,         196.62332124
       10.0030231263,        216.464196482
       10.0033561166,        240.894752109
       10.0037257358,          271.3089717
        10.004136013,        309.632906966
       10.0045914208,         358.56952571
       10.0050969235,        421.975629538
       10.0056580314,        505.452720919
       10.0062808612,        617.291172411
       10.0069722023,        770.009632271
       10.0077395909,        982.918449987
       10.0085913923,        1286.48343095
       10.0095368917,        1729.92663446
       10.0105863962,        2394.78411407
       10.0117513461,        3419.69317587
       10.0130444406,        5046.89529718
       10.0144797754,         7711.9387124
        10.016072997,        12222.3158704
        10.017841473,        20127.8264328
       10.0198044814,        34532.3947788
       10.0219834207,        62018.1079651
       10.0244020433,        117684.320303
       10.0270867145,        239845.055151
       10.0300666994,        537077.448736
       10.0333744827,         1347493.2786
       10.0370461221,        3806375.23349
       10.0411216419,        12113971.1041
       10.0456454689,        43441391.8576
       10.0506669168,        174371943.269
        10.056240724,        775737115.378
         10.06242765,        3788222248.75
       10.0692951379,        20098580740.3
       10.0769180494,         114290641586
       10.0853794812,         683253217272
       10.0947716705,        4178241361350
       10.1051970006,       25164358732900
        10.116769117,      141802318784000
       10.1296141662,      698816196506000
       10.1438721708,     2.7701905592e+15
        10.159698556,    8.10590753422e+15
       10.1772658435,    1.67176948794e+16
       10.1967655326,    2.52307826489e+16
       10.2184101876,    3.07815968645e+16
       10.2424357545,    3.34606096181e+16
       10.2691041339,    3.45110382906e+16
        10.298706035,    3.48632985676e+16
