------------------------------------------------------------
 Recombination Rate (at applied bias)
------------------------------------------------------------
Position (um), Recombination Rate (/cm3s)
                   0,    -0.00873150132688
      0.487971470245,       -3.72350023251
      0.951544366978,       -14.3115774526
       1.39193861887,       -48.8546902575
       1.81031315818,       -157.100405763
       2.20776897051,       -478.846204601
       2.58535199223,       -1386.69564695
       2.94405586287,       -3823.01541685
       3.28482453997,        -10053.484907
       3.60855478322,       -25266.3020555
        3.9160985143,       -60798.3983832
       4.20826505883,       -140332.924106
       4.48582327613,       -311254.021347
       4.74950358257,       -664519.368337
       4.99999987369,       -1367931.63443
       5.25024593471,        -2807269.6594
       5.48797969268,       -5574161.56845
       5.71382676274,       -10710676.8428
       5.92838147931,       -19939538.1022
       6.13220846005,       -36014172.3189
       6.32584409175,       -63196329.2557
       6.50979794186,       -107882915.289
       6.68455409947,       -179397550.759
        6.8505724492,       -290952089.933
       7.00828988145,       -460769123.868
       7.15812144208,       -713339131.647
       7.30046142468,       -1080766897.52
       7.43568440815,       -1604143015.97
       7.56414624244,       -2334859978.38
       7.68618498502,       -3335780659.17
       7.80212179047,       -4682161833.22
       7.91226175565,        -6462237877.5
       8.01689472257,       -8777380442.62
       8.11629604115,       -11741768148.6
       8.21072729379,       -15481524959.2
       8.30043698381,       -20133314848.8
       8.38566118932,       -25842411308.2
       8.46662418456,       -32760290603.1
       8.54353903003,       -41041825113.8
       8.61660813323,       -50842175526.9
       8.68602378128,       -62313496644.2
       8.75196864691,       -75601580302.3
       8.81461626927,       -90842560165.9
       8.87413151051,        -108159797405
       8.93067098969,        -127661054399
       8.98438349491,        -149436046885
       9.03541037487,        -173554444871
       9.08388591083,        -200064370665
       9.12993766999,        -228991419977
       9.17368684119,        -260338210564
       9.21524855383,        -294084443276
       9.25473218085,        -330187443463
       9.29224162651,        -368583137019
       9.32787559988,        -409187405069
       9.36172787459,        -451897754483
       9.39388753557,        -496595237857
       9.42443921349,        -543146555992
       9.45346330752,        -591406277807
       9.48103619685,        -641219116595
       9.50723044171,        -692422207056
       9.53211497433,        -744847334149
       9.55575528031,        -798323072081
         9.578213571,        -852676799284
       9.59954894715,        -907736562690
        9.6198175545,        -963332771781
       9.63907273148,       -1019299709520
       9.65736514961,       -1075476853270
       9.67474294683,       -1131710003960
       9.69125185419,       -1187852226360
       9.70693531618,       -1243764606940
       9.72183460508,       -1299316838500
       9.73598892953,       -1354387643460
       9.74943553775,       -1408865048670
       9.76220981557,       -1462646526030
       9.77434537949,       -1515639013610
       9.78587416522,       -1567758831780
       9.79682651166,       -1618931509040
       9.80723124078,       -1669091531270
       9.81711573345,       -1718182027830
       9.82650600148,       -1766154406500
       9.83542675611,       -1812967948990
       9.84390147301,       -1858589377240
       9.85195245406,       -1902992400480
       9.85960088606,       -1946157252430
       9.86686689646,       -1988070229110
       9.87376960634,       -2028723239760
       9.88032718072,       -2068113389400
       9.88655687639,       -2106242621440
       9.89247508728,       -2143117466550
       9.89809738761,       -2178748971180
       9.90343857294,       -2213152918190
       9.90851269899,       -2246350504550
       9.91333311875,       -2278369705220
       9.91791251751,       -2309247623720
       9.92226294634,       -2339034200470
       9.92639585373,       -2367797705870
       9.93032211574,       -2395632472530
       9.93405206466,       -2422669303470
       9.93759551613,       -2449088920540
       9.94096179503,       -2475138686070
       9.94415975998,       -2501152652330
       9.94719782668,       -2527574791640
       9.95008399005,       -2554985076150
       9.95282584525,       -2584127960090
       9.95543060769,       -2615942822440
       9.95790513201,       -2651596097020
       9.96025593011,       -2692515175470
       9.96248918831,       -2740424708740
        9.9646107836,       -2797386613040
       9.96662629912,       -2865845833910
       9.96854103887,       -2948684639290
       9.97036004163,       -3049288796650
       9.97208809425,       -3171629351940
       9.97372974424,       -3320363816270
       9.97528931173,       -3500960383220
       9.97677090085,       -3719848406170
       9.97817841051,       -3984597847540
       9.97951554469,       -4304129811420
       9.98078582215,       -4688959505220
       9.98199258575,       -5151471847130
       9.98313901117,       -5706228261360
       9.98422811531,       -6370300959210
       9.98526276425,       -7163628353630
       9.98624568074,       -8109382420770
        9.9871794514,       -9234335986970
       9.98806653354,      -10569215205500
       9.98890926156,      -12149020021400
       9.98970985319,      -14013293374500
       9.99047041523,      -16206318487800
       9.99119294917,      -18777223068300
       9.99187935642,      -21779969842200
        9.9925314433,      -25273214719300
       9.99315092584,      -29320017108600
       9.99373943425,      -33987391465200
       9.99429851724,      -39345694876200
       9.99482964608,      -45467852143400
       9.99533421848,      -52428427020500
       9.99581356226,      -60302555596400
       9.99626893885,      -69164764816200
       9.99670154661,      -79087705350200
       9.99711252398,      -90140833043400
       9.99750295249,     -102389076683000
       9.99787385957,     -115891531582000
       9.99822622129,     -130700218386000
       9.99856096493,     -146858944616000
       9.99887897139,     -164402302866000
       9.99918107752,     -183354834564000
       9.99946807835,     -203730382068000
       9.99974072913,     -225531644993000
       9.99999974738,     -248749970333000
       10.0000208413,     -250755374661000
       10.0000425137,     -252832345429000
        10.000066641,     -255164483235000
        10.000092632,     -257700448062000
       10.0001150737,     -259910033140000
       10.0001427241,     -262658101949000
       10.0001767922,     -266083323993000
       10.0002187675,     -270364005904000
       10.0002432783,     -272894893966000
       10.0002704852,     -275731477584000
        10.000300685,     -278914059061000
       10.0003342066,     -282489053271000
       10.0003714157,     -286510100169000
       10.0004127178,     -291039421759000
       10.0004585631,     -296149486830000
       10.0005094514,     -301925065624000
       10.0005659374,     -308465781709000
       10.0006286369,     -315889302210000
       10.0006982333,     -324335353397000
       10.0007754853,     -333970811418000
        10.000861235,     -344996204461000
       10.0009564173,     -357654083124000
       10.0010620695,     -372239884926000
       10.0011793435,     -389116159057000
       10.0013095176,     -408731361791000
       10.0014540109,     -431644932238000
       10.0016143985,     -458561090500000
       10.0017924287,     -490374887813000
       10.0019900422,     -528235674177000
       10.0022093932,     -573635643646000
       10.0024528728,     -628534976769000
       10.0027231351,     -695541161906000
       10.0030231263,     -778169754405000
       10.0033561166,     -881229546896000
       10.0037257358,   -1.01140110765e+15
        10.004136013,   -1.17812144212e+15
       10.0045914208,   -1.39496288199e+15
       10.0050969235,   -1.68182677862e+15
       10.0056580314,   -2.06851092089e+15
       10.0062808612,   -2.60064908991e+15
       10.0069722023,   -3.34985306287e+15
       10.0077395909,   -4.43150658987e+15
       10.0085913923,   -6.03690758352e+15
       10.0095368917,   -8.49317421703e+15
       10.0105863962,     -1.237871373e+16
       10.0117513461,   -1.87539605941e+16
       10.0130444406,   -2.96405999027e+16
       10.0144797754,   -4.90586647441e+16
        10.016072997,   -8.53705588732e+16
        10.017841473,   -1.56822663431e+17
       10.0198044814,   -3.05242878824e+17
       10.0219834207,   -6.31239490813e+17
       10.0244020433,   -1.38640470976e+18
       10.0270867145,   -3.20486300402e+18
       10.0300666994,   -7.55163460245e+18
       10.0333744827,   -1.67071750675e+19
       10.0370461221,   -3.03135799549e+19
       10.0411216419,   -4.18071611567e+19
       10.0456454689,   -4.72542273422e+19
       10.0506669168,   -4.87407110464e+19
        10.056240724,   -4.77862387849e+19
         10.06242765,   -4.18066953666e+19
       10.0692951379,   -2.47741418231e+19
       10.0769180494,   -7.38394061473e+18
       10.0853794812,   -1.40823768535e+18
       10.0947716705,   -2.35592483554e+17
       10.1051970006,   -3.92021240383e+16
        10.116769117,   -6.94339877454e+15
       10.1296141662,   -1.40333780239e+15
       10.1438721708,     -351166943795000
        10.159698556,     -117944726653000
       10.1772658435,      -55358077162700
       10.1967655326,      -34915904334800
       10.2184101876,      -26852927561100
       10.2424357545,      -22905172450600
       10.2691041339,      -20375770718600
        10.298706035,      -18314571646600
       10.3315641452,      -16400335867200
       10.3680366475,      -14543983221900
       10.4085211251,      -12736591192100
       10.4534588952,      -10993826414700
         10.50333982,       -9337497513860
       10.5587076465,       -7789654620520
        10.620165934,       -6370244660220
       10.6883846331,       -5095625068480
       10.7641073891,       -3977352267260
       10.8481596482,       -3021245151850
       10.9414576559,       -2226848938280
       11.0450184444,       -1587420959650
       11.1599709196,       -1090505874610
       11.2875681671,        -719082470944
       11.4292011119,        -453163344567
       11.5864136805,        -271635046922
       11.7609196318,        -154067217606
       11.9546212376,       -82218080130.6
       12.1696300201,       -41029115029.2
       12.4082897686,       -19020194462.4
       12.6732020895,       -8133290700.09
