------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,   -0.000855013203521
      0.487971470245,   -0.000855013204028
      0.951544366978,   -0.000855013204685
       1.39193861887,   -0.000855013204682
       1.81031315818,   -0.000855013204847
       2.20776897051,   -0.000855013205032
       2.58535199223,   -0.000855013204881
       2.94405586287,   -0.000855013204763
       3.28482453997,   -0.000855013204191
       3.60855478322,   -0.000855013202423
        3.9160985143,   -0.000855013198769
       4.20826505883,   -0.000855013192952
       4.48582327613,   -0.000855013182531
       4.74950358257,   -0.000855013165584
       4.99999987369,   -0.000855013138826
       5.25024593471,   -0.000855013095069
       5.48797969268,   -0.000855013028531
       5.71382676274,   -0.000855012927856
       5.92838147931,   -0.000855012779973
       6.13220846005,   -0.000855012568175
       6.32584409175,   -0.000855012270862
       6.50979794186,   -0.000855011861603
       6.68455409947,   -0.000855011306547
        6.8505724492,   -0.000855010569203
       7.00828988145,   -0.000855009605384
       7.15812144208,    -0.00085500836449
       7.30046142468,   -0.000855006792009
       7.43568440815,   -0.000855004826641
       7.56414624244,   -0.000855002402492
       7.68618498502,   -0.000854999451491
       7.80212179047,   -0.000854995905607
       7.91226175565,   -0.000854991691883
       8.01689472257,   -0.000854986740649
       8.11629604115,    -0.00085498098476
       8.21072729379,   -0.000854974358602
       8.30043698381,   -0.000854966802772
       8.38566118932,   -0.000854958266977
       8.46662418456,   -0.000854948708542
       8.54353903003,   -0.000854938086924
       8.61660813323,   -0.000854926379908
       8.68602378128,   -0.000854913571863
       8.75196864691,   -0.000854899653065
       8.81461626927,   -0.000854884635009
       8.87413151051,    -0.00085486853023
       8.93067098969,   -0.000854851363138
       8.98438349491,   -0.000854833172542
       9.03541037487,   -0.000854813993414
       9.08388591083,    -0.00085479388214
       9.12993766999,   -0.000854772882757
       9.17368684119,   -0.000854750966269
       9.21524855383,   -0.000854727773152
       9.25473218085,   -0.000854701332627
       9.29224162651,   -0.000854662691523
       9.32787559988,     -0.0008545747382
       9.36172787459,   -0.000854294247003
       9.39388753557,   -0.000853303351547
       9.42443921349,   -0.000849843348407
       9.45346330752,   -0.000838292008394
       9.48103619685,   -0.000801696000754
       9.50723044171,   -0.000691739017694
       9.53211497433,   -0.000378020820907
       9.55575528031,   -0.000473387157614
         9.578213571,    -0.00267541458494
       9.59954894715,    -0.00811300045797
        9.6198175545,     -0.0209566844031
       9.63907273148,     -0.0500276413612
       9.65736514961,      -0.113193605019
       9.67474294683,      -0.245173803978
       9.69125185419,      -0.510794948055
       9.70693531618,       -1.02655588245
       9.72183460508,       -1.99426768043
       9.73598892953,       -3.75142236534
       9.74943553775,        -6.8436246717
       9.76220981557,       -12.1246487251
       9.77434537949,       -20.8891486135
       9.78587416522,        -35.041407347
       9.79682651166,        -57.300373945
       9.80723124078,       -91.4362311607
       9.81711573345,       -142.526518011
       9.82650600148,       -217.210210126
       9.83542675611,       -323.906300832
       9.84390147301,       -472.950206049
       9.85195245406,       -676.588838828
       9.85960088606,       -948.767319003
       9.86686689646,       -1304.64280856
       9.87376960634,       -1759.78093953
       9.88032718072,       -2329.03369438
       9.88655687639,       -3025.16515608
       9.89247508728,        -3857.3739145
       9.89809738761,       -4829.93600433
       9.90343857294,       -5941.22888526
       9.90851269899,       -7183.36702088
       9.91333311875,       -8542.57484916
       9.91791251751,       -10000.2665867
       9.92226294634,       -11534.6445162
       9.92639585373,       -13122.5233333
       9.93032211574,       -14741.0707692
       9.93405206466,       -16369.2199806
       9.93759551613,       -17988.6223041
       9.94096179503,       -19584.1253555
       9.94415975998,       -21143.8476295
       9.94719782668,         -22658.96383
       9.95008399005,       -24123.3200736
       9.95282584525,       -25532.9787919
       9.95543060769,       -26885.7640758
       9.95790513201,       -28180.8497194
       9.96025593011,        -29418.409618
       9.96248918831,       -30599.3348493
        9.9646107836,       -31725.0128417
       9.96662629912,       -32797.1598513
       9.96854103887,       -33817.6968015
       9.97036004163,       -34788.6590768
       9.97208809425,       -35712.1321582
       9.97372974424,       -36590.2065122
       9.97528931173,       -37424.9465869
       9.97677090085,        -38218.370013
       9.97817841051,       -38972.4341043
       9.97951554469,       -39689.0275356
       9.98078582215,       -40369.9656583
       9.98199258575,       -41016.9883525
       9.98313901117,       -41631.7596273
       9.98422811531,       -42215.8684115
       9.98526276425,       -42770.8301416
       9.98624568074,       -43298.0888678
        9.9871794514,       -43799.0196828
       9.98806653354,       -44274.9313377
       9.98890926156,       -44727.0689494
       9.98970985319,       -45156.6167331
       9.99047041523,       -45564.7007152
       9.99119294917,       -45952.3913957
       9.99187935642,       -46320.7063407
        9.9925314433,       -46670.6126901
       9.99315092584,       -47003.0295752
       9.99373943425,       -47318.8304398
       9.99429851724,       -47618.8452642
