,Z,N,A,mass,lifetime
0,1,0,1,7288.9706,stbl
1,1,1,2,13135.7217,stbl
2,1,2,3,14949.8099,12.32   y 0.02
3,2,1,3,14931.2179,stbl
4,1,3,4,24620.0,139     ys 10
5,2,2,4,2424.9156,stbl
6,3,1,4,25320.0,91     ys 9
7,1,4,5,32890.0,>910     ys
8,2,3,5,11231.0,700     ys 30
9,3,2,5,11680.0,370     ys 30
10,1,5,6,41880.0,290     ys 70
11,2,4,6,17592.1,806.92  ms 0.24
12,3,3,6,14086.8789,stbl
13,4,2,6,18375.0,5.0   zs 0.3
14,2,5,7,26073.0,2.51  zs 0.07
15,3,4,7,14907.105,stbl
16,3,4,7,26150.0,11250      30
17,4,3,7,15769.0,53.22   d 0.06
18,4,3,7,26750.0,10980      30
19,5,2,7,27677.0,570     ys 14
20,2,6,8,31609.68,119.1   ms 1.2
21,3,5,8,20945.8,839.40  ms 0.36
22,3,5,8,31768.0,10822       5
23,4,4,8,4941.67,81.9   as 3.7
24,5,3,8,22921.6,770     ms 3
25,5,3,8,33546.0,10624       8
26,6,2,8,35064.0,3.5   zs 1.4
27,2,7,9,40940.0,2.5   zs 2.3
28,3,6,9,24954.9,178.3   ms 0.4
29,4,5,9,11348.45,stbl
30,5,4,9,12416.5,800     zs 300
31,6,3,9,28911.0,126.5   ms 0.9
32,2,8,10,49200.0,3.1   zs 2.0
33,3,7,10,33053.0,2.0   zs 0.5
34,3,7,10,33250.0,200      40
35,3,7,10,33530.0,480      40
36,4,6,10,12607.49,1.51  My 0.04
37,4,6,10,33787.0,21179      21
38,5,5,10,12050.609,stbl
39,6,4,10,15698.67,19.3009 s 0.0017
40,7,3,10,38800.0,200     ys 140
41,3,8,11,40728.3,8.75  ms 0.14
42,4,7,11,20177.17,13.76   s 0.07
43,4,7,11,41336.0,21158      20
44,5,6,11,8667.707,stbl
45,5,6,11,21228.0,12560       9
46,5,6,11,42230.0,33570      80     2
47,6,5,11,10649.4,20.364  m 0.014
48,6,5,11,22810.0,12160      40
49,7,4,11,24300.0,550     ys 20
50,3,9,12,49010.0,<10     ns                      00
51,4,8,12,25077.8,21.50  ms 0.04
52,5,7,12,13369.4,20.20  ms 0.02
53,5,7,12,26088.0,12719      19
54,6,6,12,0.0,stbl
55,6,6,12,15108.0,15108       3
56,7,5,12,17338.1,11.000 ms 0.016
57,7,5,12,29534.0,12195      29     2
58,8,4,12,31915.0,>6.3   zs        0
59,3,10,13,56980.0,3.3   zs 1.2
60,4,9,13,33659.0,1.0   zs 0.7
61,4,9,13,35160.0,1500      50
62,5,8,13,16561.9,17.33  ms 0.17
63,6,7,13,3125.0088,stbl
64,7,6,13,5345.48,9.965  m 0.004
65,8,5,13,23115.0,8.58  ms 0.05
66,4,10,14,39950.0,4.35  ms 0.17
67,4,10,14,41470.0,1520     150
68,5,9,14,23664.0,12.5   ms 0.5
69,5,9,14,40728.0,17065      29
