Z,N,Name,Exceso_masa_keV,Lifetime
0,1,Neutron,8.07E+3,4.40E-4
1,0,1H,7.28E+3,1.30E-5
1,1,2H,1.31E+4,1.50E-5
1,2,3H,1.49E+4,8.00E-5
1,3,4H,2.46E+4,1.00E+2
1,4,5H,3.28E+4,8.94E+1
1,5,6H,4.18E+4,2.54E+2
1,6,7H,4.91E+4,1.00E+3
2,1,3He,1.49E+4,6.00E-5
2,2,4He,2.42E+3,1.50E-4
2,3,5He,1.12E+4,2.00E+1
2,4,6He,1.75E+4,5.30E-2
2,5,7He,2.60E+4,7.55
2,6,8He,3.16E+4,8.90E-2
2,7,9He,4.09E+4,4.68E+1
2,8,10He,4.91E+4,9.28E+1
3,1,4Li,2.53E+4,2.12E+2
3,2,5Li,1.16E+4,5.00E+1
3,3,6Li,1.40E+4,1.44E-3
3,4,7Li,1.49E+4,4.19E-3
3,5,8Li,2.09E+4,4.70E-2
3,6,9Li,2.49E+4,1.86E-1
3,7,10Li,3.30E+4,1.27E+1
3,8,11Li,4.07E+4,6.15E-1
3,9,12Li,4.90E+4,3.00E+1
3,10,13Li,5.69E+4,7.00E+1
4,2,6Be,1.83E+4,5.44
4,3,7Be,1.57E+4,7.09E-2
4,4,8Be,4.94E+3,3.50E-2
4,5,9Be,1.13E+4,7.60E-2
4,6,10Be,1.26E+4,8.10E-2
4,7,11Be,2.01E+4,2.38E-1
4,8,12Be,2.50E+4,1.90
4,9,13Be,3.36E+4,1.01E+1
4,11,15Be,4.98E+4,1.65E+2
4,12,16Be,5.74E+4,1.65E+2
4,10,14Be,3.99E+4,1.32E+2
5,12,17B,4.37E+4,2.04E+2
5,13,18B,5.17E+4,2.04E+2
5,14,19B,5.97E+4,5.25E+2
5,15,20B,6.94E+4,5.46E+2
5,16,21B,7.83E+4,5.58E+2
5,10,15B,2.89E+4,2.10E+1
5,11,16B,3.71E+4,2.45E+1
5,2,7B,2.76E+4,2.51E+1
5,3,8B,2.29E+4,1.00
5,4,9B,1.24E+4,9.03E-1
5,5,10B,1.20E+4,1.50E-2
5,6,11B,8.66E+3,1.20E-2
5,7,12B,1.33E+4,1.32
5,8,13B,1.65E+4,1.00
5,9,14B,2.36E+4,2.12E+1
6,2,8C,3.50E+4,1.82E+1
6,3,9C,2.89E+4,2.13
6,4,10C,1.56E+4,7.00E-2
6,5,11C,1.06E+4,6.00E-2
6,6,12C,0.0,0.0
6,7,13C,3.12E+3,2.30E-4
6,8,14C,3.01E+3,3.75E-3
6,9,15C,9.87E+3,8.00E-1
6,14,20C,3.75E+4,2.30E+2
6,13,19C,3.24E+4,9.83E+1
6,16,22C,5.36E+4,2.31E+2
6,10,16C,1.36E+4,3.57
6,12,18C,2.49E+4,3.00E+1
6,11,17C,2.10E+4,1.73E+1
7,15,22N,3.17E+4,2.07E+2
7,14,21N,2.52E+4,1.34E+2
7,17,24N,4.69E+4,4.01E+2
7,16,23N,3.67E+4,4.20E+2
7,11,18N,1.31E+4,1.85E+1
7,10,17N,7.87E+3,1.50E+1
7,13,20N,2.17E+4,7.88E+1
7,12,19N,1.58E+4,1.64E+1
7,3,10N,3.88E+4,4.00E+2
